variableID	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18
variable long name	Pot ID	Block	Harvest date in July	Treatment type	Neighbor treatment	Mv treatment	Microstegium biomass (g)	Panicum biomass (g)	Sorghum biomass (g)	Weed biomass (g)	Ammonium (ugN/G)	Nitate (ugN/G)	Total inorganic N (ugN/G)	Ammonification (ugN/G*d)	Nitrification (ugN/G*d)	Mineralization (ugN/G*d)	Soil moisture (%)	Notes
variable short name	potid	bk	julydate	type	comptrt	mvtrt	mivi	pavi	sobi	weed	nhdi	nodi	totdi	ammonifd	nitrifd	minzd	soilmoi	notes
format	I3	I2	I2	A9	A1	I1	F2.2	F2.2	F3.2	F1.2	F2.4	F3.4	F3.4	F2.4	F2.4	F2.4	F2.2	NA
units	NA	NA	day of month	NA	NA	NA	g/pot	g/pot	g/pot	g/pot	ugN/G	ugN/G	ugN/G	ugN/G*d	ugN/G*d	ugN/G*d	%	NA
minimum value	1	1	NA	NA	NA	NA	0	3.15	38.19	0	0.2013	0.0163	0.8557	-2.5372	-5.6387	-7.2119	49.3392	NA
maximum value	160	10	NA	NA	NA	NA	49.47	48.47	122.08	3.38	32.8182	113.0142	115.0354	6.8163	10.4434	8.5049	83.691	NA
average	NA	NA	NA	NA	NA	NA	14.07	22.14	78.02	0.05	8.2714	31.6593	39.9307	-0.5507	0.755	0.2043	75.8822	NA
description	Unique ID num for each pot	Unique ID num for each block	Date in July that pot was harvested	"Treatment type, 7 levels (Empty, Mivi, Sobi, Pavi, CompEmpty, CompSobi, CompPavi). The purpose of this code is to quickly distinguish the monoculture pots (Empty, Mivi, Sobi, Pavi) from the multispecies pots."	"Neighbor or competition treatment, 3 levels (N, P, S). N = No neighbor, P = Pavi is the neighbor, S = Sobi is the neighbor"	"Mv treatment, 6 levels (0, 1, 2, 4, 5, or 6 Mv individuals)"	Microstegium (Mivi) aboveground dry biomass (g) harvested per pot	Panicum (Pavi) aboveground dry biomass (g) harvested per pot	Sorghum (Sobi) aboveground dry biomass (g) harvested per pot	Weed aboveground dry biomass (g) harvested per pot	KCl-extractable ammonium in units of ugN per gram dry soil	KCl-extractable nitrate in units of ugN per gram dry soil	KCl-extractable total inorganic N (ammonium + nitrate) in units of ugN per gram dry soil	Net ammonification rate in units of ugN per gram dry soil per day; measured with lab incubation	Net nitrification rate in units of ugN per gram dry soil per day; measured with lab incubation	Net mineralization rate in units of ugN per gram dry soil per day; measured with lab incubation	Soil moisture (%) at harvest	General notes
source	NA	NA	NA	NA	NA	NA	Measured	Measured	Measured	Measured	Measured; See files that end in 'lachatunitconv'	Measured; See files that end in 'lachatunitconv'	Measured; See files that end in 'lachatunitconv'	Measured; See files that end in 'lachatunitconv'	Measured; See files that end in 'lachatunitconv'	Measured; See files that end in 'lachatunitconv'	Measured; See files that end in 'lachatunitconv'	NA
