"Groups"	"Name"	"Variance"	"Std.Dev."
"total"	NA	NA	"-449.551488819829"
"bk"	"(Intercept)"	" 65.141"	" 8.071"
"Residual"	""	"132.254"	"11.500"
"(Intercept)"	"12.0707625559849"	"4.90639190960017"	"2.46021165418246"
"mvtrt"	"3.84099704565059"	"1.20528126849927"	"3.18680555820229"
"comptrtP"	"24.0922874440149"	"5.72446511649297"	"4.20865302761681"
"comptrtS"	"83.451460354132"	"5.7245946017551"	"14.577706573064"
"mvtrt:comptrtP"	"-4.80309704565057"	"1.66590682082536"	"-2.88317268745615"
"mvtrt:comptrtS"	"-9.33844286588436"	"1.66999963011141"	"-5.59188319416655"
