"trt"	"level"	"total.mean"	"total.se"	"total.n"	"soilmoi.mean"	"soilmoi.se"	"soilmoi.n"	"nodi.mean"	"nodi.se"	"nodi.n"	"nitrifd.mean"	"nitrifd.se"	"nitrifd.n"
"mvtrt"	"1"	47.3567857142857	6.23308687343954	28	75.6746428571429	1.36438354416687	28	28.0599714285714	2.94333356383745	28	0.6896	0.491220011672697	28
"mvtrt"	"2"	49.2596666666667	6.05627041796178	30	74.592	1.34592850487308	30	26.1602533333333	2.47883465158105	30	0.98836	0.489886569221333	30
"mvtrt"	"4"	43.0579310344828	4.79502324047313	29	76.8037931034483	1.18774555810008	29	29.0467068965517	2.64271639367755	29	0.89521724137931	0.531818520684063	29
"mvtrt"	"5"	42.9893333333333	3.71341723630421	30	76.25	0.830589598092686	30	30.43177	2.89030083764172	30	1.00049333333333	0.540662529349081	30
"comptrt"	"N"	24.3618421052632	1.44906286758211	38	78.3134210526316	0.632936581659951	38	33.3038552631579	2.31054944548351	38	0.315142105263158	0.3943085880527	38
"comptrt"	"P"	33.27675	1.25354443057399	40	78.54025	0.450268365490558	40	30.0496725	2.29062451092516	40	1.7038325	0.462150249327733	40
"comptrt"	"S"	79.1107692307692	3.71143593937264	39	70.6138461538462	1.25647588993789	39	22.0066923076923	2.1445031086449	39	0.636076923076923	0.4374568681027	39
"trt"	"1_N"	17.47125	3.10653656338419	8	79.03	0.831515398019096	8	35.3199375	5.78943697265415	8	-0.3608125	0.754901412777452	8
"trt"	"1_P"	32.68	1.73164340696602	10	79.697	0.819734442094241	10	30.81958	4.66362045255734	10	2.05888	0.990785561595781	10
"trt"	"1_S"	85.942	6.97129221243172	10	68.968	2.59589068422467	10	19.49239	4.05944212895346	10	0.16065	0.594272770376627	10
"trt"	"2_N"	19.78	2.28023293157129	10	79.243	0.928901441967278	10	31.35844	4.51464848628452	10	1.45935	0.868208667602438	10
"trt"	"2_P"	38.511	3.31639678969008	10	77.484	1.29798236591343	10	25.50898	4.27673114471529	10	1.49209	0.989412006244113	10
"trt"	"2_S"	89.488	7.0106019396023	10	67.049	2.30414334527077	10	21.61334	3.92159268116072	10	0.01364	0.65480054320211	10
"trt"	"4_N"	27.892	1.7707034383732	10	79.585	0.686489054699506	10	31.32851	3.63260881312743	10	0.2741	0.597139940233629	10
"trt"	"4_P"	29.582	1.80291788190391	10	79.387	0.486287637789268	10	33.61551	5.26975714351767	10	1.34811	0.920445925920933	10
"trt"	"4_S"	74.8822222222222	8.21908564422835	9	70.8433333333333	2.92973074227346	9	21.4349222222222	4.08546074026126	9	1.08213333333333	1.26432670949139	9
"trt"	"5_N"	30.926	2.39548148720785	10	75.539	1.82139412416851	10	35.61175	5.21161522130562	10	-0.24726	0.861722586347963	10
"trt"	"5_P"	32.334	2.30006144845451	10	77.593	0.684827715560637	10	30.25462	4.4003394649807	10	1.91625	0.925326135208554	10
"trt"	"5_S"	65.708	6.01136142834734	10	75.618	1.60667690176546	10	25.42894	5.33517487540526	10	1.33249	0.97391652362453	10
