potid	bk	comptrt	densitytrt	densitytrt2	monotrt	mivi	total	percmivibiom	nhdi	nodi	totdi	percnodi	ammonifd	nitrifd	minzd	soilmoi
5	1	N	L4	17	MvEmpty	7.38	7.38	100	0.92	58.15	59.0666	0.9844	-0.0364	3.7805	3.7441	79.06
21	2	N	L4	17	MvEmpty	15.19	15.19	100	11.37	27.89	39.2597	0.7103	-0.9114	0.2831	-0.6283	80.29
53	4	N	L4	17	MvEmpty	13.51	13.51	100	13.59	16.79	30.3794	0.5527	-1.1108	0.6410	-0.4699	75.68
85	6	N	L4	17	MvEmpty	15.17	15.17	100	7.37	47.08	54.4578	0.8646	-0.5160	-1.5702	-2.0862	78.26
101	7	N	L4	17	MvEmpty	15.05	15.05	100	4.66	55.73	60.3863	0.9228	-0.2237	-3.4627	-3.6864	81.63
117	8	N	L4	17	MvEmpty	36.40	36.40	100	1.35	34.61	35.9559	0.9625	0.0682	-1.5758	-1.5076	80.14
133	9	N	L4	17	MvEmpty	23.33	23.33	100	5.11	21.84	26.9492	0.8103	-0.4110	-1.1035	-1.5145	75.68
149	10	N	L4	17	MvEmpty	13.74	13.74	100	8.61	20.48	29.0895	0.7040	-0.7157	0.1211	-0.5946	81.50
12	1	P	L1	83	MvPv	21.16	25.66	82	2.35	49.43	51.7765	0.9547	-0.1214	2.6254	2.5040	78.80
28	2	P	L1	83	MvPv	19.10	24.32	79	13.23	36.88	50.1070	0.7361	-1.0533	3.2075	2.1542	80.00
44	3	P	L1	83	MvPv	33.74	37.72	89	21.05	20.56	41.6187	0.4941	-1.7350	6.4880	4.7530	78.80
60	4	P	L1	83	MvPv	14.58	25.08	58	19.00	22.99	41.9892	0.5476	-1.5560	1.5109	-0.0450	76.54
76	5	P	L1	83	MvPv	7.91	35.37	22	11.40	31.11	42.5036	0.7318	-0.8631	1.2451	0.3820	75.35
92	6	P	L1	83	MvPv	28.45	31.60	90	2.97	54.29	57.2602	0.9482	-0.1633	-4.1105	-4.2738	73.99
108	7	P	L1	83	MvPv	25.25	28.82	88	13.46	18.72	32.1778	0.5818	-0.9083	2.6096	1.7013	75.77
124	8	P	L1	83	MvPv	26.63	32.98	81	8.97	37.14	46.1049	0.8055	-0.7299	0.8419	0.1120	79.78
156	10	P	L1	83	MvPv	30.94	48.56	64	9.37	14.65	24.0233	0.6100	-0.7481	5.1111	4.3631	76.90
13	1	P	L2	67	MvPv	16.28	25.95	63	5.68	34.01	39.6870	0.8570	-0.4188	0.5460	0.1271	76.92
