expt	potid	bk	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivi	percpavi	percsobi	percweed
E4	62	4	P	L3	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	78	5	P	L3	8.13	20.05	NA	0	28.18	28.85	71.15	0	0
E4	94	6	P	L3	15.19	21.13	NA	0	36.32	41.82	58.18	0	0
E4	110	7	P	L3	10.86	36.66	NA	0.07	47.59	22.82	77.03	0	0.15
E4	126	8	P	L3	17.94	43.37	NA	0.42	61.73	29.06	70.26	0	0.68
E4	142	9	P	L3	4.2	37.24	NA	0	41.44	10.14	89.86	0	0
E4	158	10	P	L3	5.55	33.59	NA	0	39.14	14.18	85.82	0	0
E4	9	1	S	L3	0.53	NA	63.23	0	63.76	0.83	0	99.17	0
E4	25	2	S	L3	0.51	NA	78.1	0	78.61	0.65	0	99.35	0
E4	41	3	S	L3	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	57	4	S	L3	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	73	5	S	L3	0.75	NA	68.79	0.05	69.59	1.08	0	98.85	0.07
E4	89	6	S	L3	0.67	NA	80.51	0	81.18	0.83	0	99.17	0
E4	105	7	S	L3	0.57	NA	122.08	0	122.65	0.46	0	99.54	0
E4	121	8	S	L3	0.54	NA	115.21	0	115.75	0.47	0	99.53	0
E4	137	9	S	L3	0.58	NA	110.74	0	111.32	0.52	0	99.48	0
E4	153	10	S	L3	0.35	NA	90.53	0	90.88	0.39	0	99.61	0
E4	5	1	N	L4	7.38	NA	NA	0	7.38	100	0	0	0
E4	21	2	N	L4	15.19	NA	NA	0	15.19	100	0	0	0
E4	37	3	N	L4	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	53	4	N	L4	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	69	5	N	L4	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	85	6	N	L4	15.17	NA	NA	0	15.17	100	0	0	0
E4	101	7	N	L4	15.05	NA	NA	0	15.05	100	0	0	0
E4	117	8	N	L4	36.4	NA	NA	0	36.4	100	0	0	0
E4	133	9	N	L4	23.33	NA	NA	0	23.33	100	0	0	0
E4	149	10	N	L4	13.74	NA	NA	0	13.74	100	0	0	0
E4	15	1	P	L4	3.32	17.47	NA	0	20.79	15.97	84.03	0	0
E4	31	2	P	L4	7.39	33.15	NA	0	40.54	18.23	81.77	0	0
E4	47	3	P	L4	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	63	4	P	L4	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	79	5	P	L4	5.4	30.41	NA	0	35.81	15.08	84.92	0	0
E4	95	6	P	L4	7.97	24.16	NA	0	32.13	24.81	75.19	0	0
E4	111	7	P	L4	4.47	26.93	NA	0.41	31.81	14.05	84.66	0	1.29
E4	127	8	P	L4	0.32	35.29	NA	0	35.61	0.9	99.1	0	0
E4	143	9	P	L4	9.98	24.98	NA	0	34.96	28.55	71.45	0	0
E4	159	10	P	L4	8.8	25.81	NA	0.45	35.06	25.1	73.62	0	1.28
E4	10	1	S	L4	1.01	NA	68.25	0	69.26	1.46	0	98.54	0
E4	26	2	S	L4	0.11	NA	55.1	0	55.21	0.2	0	99.8	0
E4	42	3	S	L4	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	58	4	S	L4	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	74	5	S	L4	0.16	NA	62.67	0	62.83	0.25	0	99.75	0
E4	90	6	S	L4	0.31	NA	88.37	0	88.68	0.35	0	99.65	0
E4	106	7	S	L4	0.03	NA	116.23	0	116.26	0.03	0	99.97	0
E4	122	8	S	L4	0.33	NA	107.53	0	107.86	0.31	0	99.69	0
E4	138	9	S	L4	0.81	NA	118.06	0	118.87	0.68	0	99.32	0
E4	154	10	S	L4	2.24	NA	75.58	0	77.82	2.88	0	97.12	0
E4	6	1	N	L5	0	0	0	0	0	0	0	0	0
E4	22	2	N	L5	0	0	0	0	0	0	0	0	0
E4	38	3	N	L5	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	54	4	N	L5	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	70	5	N	L5	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	86	6	N	L5	0	0	0	0	0	0	0	0	0
E4	102	7	N	L5	0	0	0	0	0	0	0	0	0
E4	118	8	N	L5	0	0	0	0	0	0	0	0	0
E4	134	9	N	L5	0	0	0	0	0	0	0	0	0
E4	150	10	N	L5	0	0	0	0	0	0	0	0	0
E4	16	1	P	L5	NA	21.88	NA	0	21.88	0	100	0	0
E4	32	2	P	L5	NA	27.6	NA	1.26	28.86	0	95.63	0	0
E4	48	3	P	L5	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	64	4	P	L5	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	80	5	P	L5	NA	27.46	NA	0	27.46	0	100	0	0
E4	96	6	P	L5	NA	31.41	NA	0	31.41	0	100	0	0
E4	112	7	P	L5	NA	26.87	NA	0	26.87	0	100	0	0
E4	128	8	P	L5	NA	34.35	NA	0	34.35	0	100	0	0
E4	144	9	P	L5	NA	46.19	NA	3.38	49.57	0	93.18	0	6.82
E4	160	10	P	L5	NA	48.47	NA	0	48.47	0	100	0	0
E4	11	1	S	L5	NA	NA	52.06	0	52.06	0	0	100	0
E4	27	2	S	L5	NA	NA	59.08	0	59.08	0	0	100	0
E4	43	3	S	L5	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	59	4	S	L5	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	75	5	S	L5	NA	NA	77.54	0	77.54	0	0	100	0
E4	91	6	S	L5	NA	NA	74.65	0	74.65	0	0	100	0
E4	107	7	S	L5	NA	NA	114.61	0	114.61	0	0	100	0
E4	123	8	S	L5	NA	NA	115.83	0	115.83	0	0	100	0
E4	139	9	S	L5	NA	NA	107.89	0.13	108.02	0	0	99.88	0.12
E4	155	10	S	L5	NA	NA	81.01	0	81.01	0	0	100	0
