expt	potid	bk	julydate	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivibiom	percweed	miviind	paviind	sobiind	percmiviind	miviperind	paviperind	sobiperind	nhdi	nodi	totdi	ammonifd	nitrifd	minzd	soilmoi	notes
E4	45	3	18	P	L2	19.81	5.68	NA	0	25.49	78	0	4	2	0	67	4.95	2.84	NA	9.8183	16.4992	26.3175	0.0333	-0.1585	-0.1252	78.07	NA
E4	46	3	18	P	L3	6.54	17.51	NA	0	24.05	27	0	2	4	0	33	3.27	4.38	NA	16.8035	19.4585	36.262	0.0571	-0.2496	-0.1925	81.91	NA
E4	47	3	18	P	L4	5.72	28.48	NA	0	34.2	17	0	1	5	0	17	5.72	5.7	NA	8.4943	19.9467	28.441	0.0288	-0.0273	0.0015	76.21	NA
E4	50	4	19	N	L1	35.79	NA	NA	0	35.79	100	0	5	0	0	83	7.16	NA	NA	6.847	18.3215	25.1686	0.0214	0.0192	0.0406	62.5	NA
E4	51	4	19	N	L2	21.9	NA	NA	0	21.9	100	0	4	0	0	67	5.48	NA	NA	19.9434	28.2054	48.1488	0.0685	0.0223	0.0908	80.84	NA
E4	52	4	19	N	L3	18.31	NA	NA	0	18.31	100	0	2	0	0	33	9.16	NA	NA	12.5974	17.9586	30.556	0.0376	-0.0336	0.004	81.23	NA
E4	53	4	19	N	L4	13.51	NA	NA	0	13.51	100	0	1	0	0	17	13.51	NA	NA	13.5888	16.7907	30.3794	0.0463	-0.0267	0.0196	75.68	NA
E4	55	4	19	S	L1	3.44	NA	54.4	0	57.84	6	0	5	0	1	83	0.69	NA	54.4	11.4462	12.3045	23.7507	0.0392	-0.0306	0.0086	72.07	NA
E4	56	4	19	S	L2	5.36	NA	62.03	0	67.39	8	0	4	0	2	67	1.34	NA	31.02	17.6324	23.5606	41.193	0.051	-0.0255	0.0255	75.21	NA
E4	57	4	19	S	L3	0.45	NA	99.51	0	99.96	0	0	2	0	4	33	0.23	NA	24.88	11.2306	24.0096	35.2401	0.0337	0.0502	0.0839	64.94	NA
E4	58	4	19	S	L4	0.37	NA	83.85	0	84.22	0	0	1	0	5	17	0.37	NA	16.77	12.2071	16.855	29.0621	0.0404	-0.0162	0.0242	73	NA
E4	60	4	19	P	L1	14.58	10.5	NA	0	25.08	58	0	5	1	0	83	2.92	10.5	NA	18.9962	22.993	41.9892	0.0648	-0.063	0.0019	76.54	NA
E4	61	4	19	P	L2	5.3	22.59	NA	0	27.89	19	0	4	2	0	67	1.33	11.3	NA	19.189	24.3993	43.5883	0.0651	-0.185	-0.1199	79.8	NA
E4	62	4	19	P	L3	7.31	32.22	NA	0	39.53	18	0	2	4	0	33	3.66	8.06	NA	24.9986	22.6231	47.6217	0.0858	-0.117	-0.0311	81.21	NA
E4	63	4	19	P	L4	6.72	20.03	NA	0	26.75	25	0	1	5	0	17	6.72	4.01	NA	15.702	27.5694	43.2714	0.0539	-0.1276	-0.0737	80.79	NA
