expt	potid	bk	julydate	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivibiom	percweed	miviind	paviind	sobiind	percmiviind	miviperind	paviperind	sobiperind	nhdi	nodi	totdi	percnodi	ammonifd	nitrifd	minzd	soilmoi	notes
E4	41	3	18	S	L3	1.19	NA	60.04	0.25	61.48	2	0	2	0	4	33	0.6	NA	15.01	2.1873	10.3418	12.5292	0.8254	-0.0742	1.369	1.2948	58.41	NA
E4	57	4	19	S	L3	0.45	NA	99.51	0	99.96	0	0	2	0	4	33	0.23	NA	24.88	11.2306	24.0096	35.2401	0.6813	-0.8083	-1.2052	-2.0135	64.94	NA
E4	73	5	20	S	L3	0.75	NA	68.79	0.05	69.59	1	0	2	0	4	33	0.38	NA	17.2	1.447	13.1807	14.6277	0.9011	0.0062	-0.4634	-0.4572	54.96	NA
E4	89	6	20	S	L3	0.67	NA	80.51	0	81.18	1	0	2	0	4	33	0.34	NA	20.13	5.9103	48.0526	53.9629	0.8905	-0.3162	-0.5023	-0.8185	74.81	NA
E4	105	7	22	S	L3	0.57	NA	122.08	0	122.65	0	0	2	0	4	33	0.29	NA	30.52	12.8691	29.9182	42.7872	0.6992	-0.9185	-1.5929	-2.5114	64.32	NA
E4	121	8	22	S	L3	0.54	NA	115.21	0	115.75	0	0	2	0	4	33	0.27	NA	28.8	1.8074	28.5504	30.3578	0.9405	0.0079	-1.6886	-1.6807	64.65	NA
E4	137	9	27	S	L3	0.58	NA	110.74	0	111.32	1	0	2	0	4	33	0.29	NA	27.69	0.3758	5.2015	5.5773	0.9326	0.0279	0.2043	0.2322	65.45	NA
E4	153	10	27	S	L3	0.35	NA	90.53	0	90.88	0	0	2	0	4	33	0.18	NA	22.63	2.5906	12.1571	14.7477	0.8243	-0.2093	-1.0036	-1.2129	72.86	NA
E4	10	1	16	S	L4	1.01	NA	68.25	0	69.26	1	0	1	0	5	17	1.01	NA	13.65	3.7447	10.3303	14.075	0.7339	-0.2794	1.3598	1.0805	70.09	NA
E4	26	2	16	S	L4	0.11	NA	55.1	0	55.21	0	0	1	0	5	17	0.11	NA	11.02	16.6771	16.2694	32.9464	0.4938	-1.366	4.8091	3.4432	78.82	NA
E4	42	3	18	S	L4	0.35	NA	78.06	0	78.41	0	0	1	0	5	17	0.35	NA	15.61	4.7597	15.1366	19.8963	0.7608	-0.3132	0.2668	-0.0464	71.24	NA
E4	58	4	19	S	L4	0.37	NA	83.85	0	84.22	0	0	1	0	5	17	0.37	NA	16.77	12.2071	16.855	29.0621	0.58	-0.9696	0.3887	-0.5808	73	NA
E4	74	5	20	S	L4	0.16	NA	62.67	0	62.83	0	0	1	0	5	17	0.16	NA	12.53	6.3161	18.2218	24.5379	0.7426	-0.3789	-0.8567	-1.2356	74.82	NA
E4	90	6	20	S	L4	0.31	NA	88.37	0	88.68	0	0	1	0	5	17	0.31	NA	17.67	7.6089	49.9537	57.5626	0.8678	-0.5043	-0.8573	-1.3616	76.98	NA
E4	106	7	22	S	L4	0.03	NA	116.23	0	116.26	0	0	1	0	5	17	0.03	NA	23.25	2.391	30.3723	32.7633	0.927	-0.0452	-1.8279	-1.8732	59.26	NA
E4	122	8	22	S	L4	0.33	NA	107.53	0	107.86	0	0	1	0	5	17	0.33	NA	21.51	1.3369	23.1775	24.5144	0.9455	-0.0123	-1.3484	-1.3606	52.42	NA
E4	138	9	27	S	L4	0.81	NA	118.06	0	118.87	1	0	1	0	5	17	0.81	NA	23.61	1.2827	5.843	7.1257	0.82	-0.044	-0.4482	-0.4921	64.49	NA
E4	154	10	27	S	L4	2.24	NA	75.58	0	77.82	3	0	1	0	5	17	2.24	NA	15.12	2.2083	8.7643	10.9725	0.7987	-0.104	0.1206	0.0167	68.56	NA
E4	11	1	16	S	L5	0	NA	52.06	0	52.06	0	0	0	0	6	0	NA	NA	8.68	2.7665	15.3332	18.0997	0.8472	-0.1936	-0.0173	-0.211	69.14	NA
E4	27	2	16	S	L5	0	NA	59.08	0	59.08	0	0	0	0	6	0	NA	NA	9.85	3.4664	10.457	13.9234	0.751	-0.2093	0.226	0.0167	75.09	NA
E4	43	3	18	S	L5	0	NA	60.18	0	60.18	0	0	0	0	6	0	NA	NA	10.03	6.6683	16.3722	23.0405	0.7106	-0.5248	0.7185	0.1937	78.04	NA
E4	59	4	19	S	L5	0	NA	95.6	0	95.6	0	0	0	0	6	0	NA	NA	15.93	12.3493	15.4191	27.7684	0.5553	-0.9888	0.9403	-0.0484	71.26	NA
E4	75	5	20	S	L5	0	NA	77.54	0	77.54	0	0	0	0	6	0	NA	NA	12.92	3.4109	11.7642	15.1751	0.7752	-0.2081	0.1997	-0.0084	49.34	NA
E4	91	6	20	S	L5	0	NA	74.65	0	74.65	0	0	0	0	6	0	NA	NA	12.44	2.1197	35.5094	37.6291	0.9437	-0.0513	-2.454	-2.5053	66.54	NA
E4	107	7	22	S	L5	0	NA	114.61	0	114.61	0	0	0	0	6	0	NA	NA	19.1	2.4698	33.1456	35.6154	0.9307	-0.0452	-1.8852	-1.9304	65.31	NA
E4	123	8	22	S	L5	0	NA	115.83	0	115.83	0	0	0	0	6	0	NA	NA	19.31	0.8889	21.043	21.9319	0.9595	0.0688	-0.4334	-0.3645	56.98	NA
E4	139	9	27	S	L5	0	NA	107.89	0.13	108.02	0	0	0	0	6	0	NA	NA	17.98	0.2013	4.169	4.3703	0.9539	0.0724	0.2499	0.3223	54.75	NA
E4	155	10	27	S	L5	0	NA	81.01	0	81.01	0	0	0	0	6	0	NA	NA	13.5	4.4566	11.6982	16.1548	0.7241	-0.2631	2.8571	2.594	78.47	NA
