"bk"	"type"	"comptrt"	"Mvtrt"	"Mvabund"	"pavi"	"sobi"	"MVrelabund"	"nhdi"	"nodi"	"nh.no"	"totdi"	"ammonifd"	"nitrifd"	"minzd"	"soilmoi"	"total"
"1"	"Mivi"	"N"	"6"	25.35	0	0	100	3.9354	43.5426	0.0904	47.478	-0.2734	3.6092	3.3358	73.04	25.35
"2"	"Mivi"	"N"	"6"	26.07	0	0	100	4.3652	56.5225	0.0772	60.8877	-0.3516	5.689	5.3374	79.23	26.07
"3"	"Mivi"	"N"	"6"	22.85	0	0	100	7.45	20.5596	0.3624	28.0096	-0.5754	6.1599	5.5845	77.03	22.85
"4"	"Mivi"	"N"	"6"	42.42	0	0	100	13.4369	20.5201	0.6548	33.957	-1.058	6.1095	5.0515	73.91	42.42
"5"	"Mivi"	"N"	"6"	41.36	0	0	100	8.627	25.0031	0.345	33.6301	-0.7151	-0.5473	-1.2623	75.37	41.36
"6"	"Mivi"	"N"	"6"	49.47	0	0	100	5.5843	51.4392	0.1086	57.0235	-0.4329	-3.3305	-3.7634	69.38	49.47
"7"	"Mivi"	"N"	"6"	38.75	0	0	100	7.2174	68.0622	0.106	75.2796	6.8163	1.3858	8.2021	81.76	38.75
"8"	"Mivi"	"N"	"6"	41.66	0	0	100	5.8624	46.0081	0.1274	51.8705	-0.2939	-2.7087	-3.0025	81.34	41.66
"9"	"Mivi"	"N"	"6"	38.33	0	0	100	8.4484	73.2707	0.1153	81.7191	-0.6623	-5.5971	-6.2594	79.3	38.33
"1"	"CompPavi"	"P"	"5"	21.16	4.5	0	82	2.3465	49.43	0.0475	51.7765	-0.1214	2.6254	2.504	78.8	25.66
"1"	"CompPavi"	"P"	"4"	16.28	9.67	0	63	5.6768	34.0102	0.1669	39.687	-0.4188	0.546	0.1271	76.92	25.95
"1"	"CompPavi"	"P"	"2"	10.9	25.56	0	30	6.0211	15.243	0.395	21.264	-0.3869	5.5646	5.1778	69.29	36.46
"1"	"CompPavi"	"P"	"1"	3.32	17.47	0	16	12.0318	46.5145	0.2587	58.5464	-0.9352	9.3692	8.434	80.32	20.79
"2"	"CompPavi"	"P"	"5"	19.1	5.22	0	79	13.2257	36.8813	0.3586	50.107	-1.0533	3.2075	2.1542	80	24.32
"2"	"CompPavi"	"P"	"4"	14.35	8.11	0	64	4.3828	48.8061	0.0898	53.1888	-0.3083	4.4915	4.1832	81.3	22.46
"2"	"CompPavi"	"P"	"2"	12.41	18.75	0	40	14.7566	26.4389	0.5581	41.1955	-1.0581	0.7614	-0.2968	78.01	31.16
"2"	"CompPavi"	"P"	"1"	7.39	33.15	0	18	6.8767	12.3251	0.5579	19.2018	-0.4771	4.5276	4.0505	74.24	40.54
"3"	"CompPavi"	"P"	"5"	33.74	3.88	0	89	21.0548	20.5639	1.0239	41.6187	-1.735	6.488	4.753	78.8	37.62
"3"	"CompPavi"	"P"	"4"	19.81	5.68	0	78	9.8183	16.4992	0.5951	26.3175	-0.7998	3.8038	3.0041	78.07	25.49
"3"	"CompPavi"	"P"	"2"	6.54	17.51	0	27	16.8035	19.4585	0.8636	36.262	-1.3692	5.9897	4.6205	81.91	24.05
"3"	"CompPavi"	"P"	"1"	5.72	28.48	0	17	8.4943	19.9467	0.4259	28.441	-0.6907	0.6555	-0.0352	76.21	34.2
"4"	"CompPavi"	"P"	"5"	14.58	10.5	0	58	18.9962	22.993	0.8262	41.9892	-1.556	1.5109	-0.045	76.54	25.08
"4"	"CompPavi"	"P"	"4"	5.3	22.59	0	19	19.189	24.3993	0.7865	43.5883	-1.5619	4.439	2.8771	79.8	27.89
"4"	"CompPavi"	"P"	"2"	7.31	32.22	0	18	24.9986	22.6231	1.105	47.6217	-2.06	2.8074	0.7473	81.21	39.53
"4"	"CompPavi"	"P"	"1"	6.72	20.03	0	25	15.702	27.5694	0.5695	43.2714	-1.2933	3.0624	1.7691	80.79	26.75
"5"	"CompPavi"	"P"	"5"	7.91	27.46	0	22	11.3979	31.1058	0.3664	42.5036	-0.8631	1.2451	0.382	75.35	35.37
"5"	"CompPavi"	"P"	"4"	10.79	12.95	0	45	12.5489	27.0735	0.4635	39.6224	-0.9861	2.8473	1.8612	76.95	23.74
"5"	"CompPavi"	"P"	"2"	8.13	20.05	0	29	7.03	22.2418	0.3161	29.2718	-0.5421	-1.156	-1.698	75.11	28.18
"5"	"CompPavi"	"P"	"1"	5.4	30.41	0	15	11.7033	25.1776	0.4648	36.8809	-0.8865	1.7193	0.8328	79.86	35.81
"6"	"CompPavi"	"P"	"5"	28.45	3.15	0	90	2.9659	54.2943	0.0546	57.2602	-0.1633	-4.1105	-4.2738	73.99	31.6
"6"	"CompPavi"	"P"	"4"	19.12	12	0	61	4.42	66.4599	0.0665	70.8799	-0.3143	-4.7902	-5.1045	80.62	31.12
