"bk"	"type"	"comptrt"	"Mvtrt"	"Mvabund"	"pavi"	"sobi"	"MVrelabund"	"nhdi"	"nodi"	"nh.no"	"totdi"	"ammonifd"	"nitrifd"	"minzd"	"soilmoi"	"total"
"9"	"CompEmpty"	"N"	"4"	27.89	0	0	100	1.4652	28.6616	0.0511	30.1268	0.822	-0.5754	0.2465	79.79	27.89
"9"	"CompEmpty"	"N"	"2"	10.86	0	0	100	12.0903	42.9569	0.2815	55.0472	-1.0005	-0.9783	-1.9787	78.6	10.86
"9"	"CompEmpty"	"N"	"1"	23.33	0	0	100	5.1134	21.8357	0.2342	26.9492	-0.411	-1.1035	-1.5145	75.68	23.33
"10"	"CompEmpty"	"N"	"5"	35.59	0	0	100	8.6812	14.3514	0.6049	23.0326	-0.7218	0.3476	-0.3742	79.2	35.59
"10"	"CompEmpty"	"N"	"4"	23.11	0	0	100	6.4563	18.5627	0.3478	25.019	-0.5158	-0.669	-1.1848	78.39	23.11
"10"	"CompEmpty"	"N"	"2"	25.84	0	0	100	1.5825	15.044	0.1052	16.6265	-0.1026	-0.477	-0.5796	78.82	25.84
"10"	"CompEmpty"	"N"	"1"	13.74	0	0	100	8.6091	20.4804	0.4204	29.0895	-0.7157	0.1211	-0.5946	81.5	13.74
"1"	"Mivi"	"N"	"6"	25.35	0	0	100	3.9354	43.5426	0.0904	47.478	-0.2734	3.6092	3.3358	73.04	25.35
"2"	"Mivi"	"N"	"6"	26.07	0	0	100	4.3652	56.5225	0.0772	60.8877	-0.3516	5.689	5.3374	79.23	26.07
"3"	"Mivi"	"N"	"6"	22.85	0	0	100	7.45	20.5596	0.3624	28.0096	-0.5754	6.1599	5.5845	77.03	22.85
"4"	"Mivi"	"N"	"6"	42.42	0	0	100	13.4369	20.5201	0.6548	33.957	-1.058	6.1095	5.0515	73.91	42.42
"5"	"Mivi"	"N"	"6"	41.36	0	0	100	8.627	25.0031	0.345	33.6301	-0.7151	-0.5473	-1.2623	75.37	41.36
"6"	"Mivi"	"N"	"6"	49.47	0	0	100	5.5843	51.4392	0.1086	57.0235	-0.4329	-3.3305	-3.7634	69.38	49.47
"7"	"Mivi"	"N"	"6"	38.75	0	0	100	7.2174	68.0622	0.106	75.2796	6.8163	1.3858	8.2021	81.76	38.75
"8"	"Mivi"	"N"	"6"	41.66	0	0	100	5.8624	46.0081	0.1274	51.8705	-0.2939	-2.7087	-3.0025	81.34	41.66
"9"	"Mivi"	"N"	"6"	38.33	0	0	100	8.4484	73.2707	0.1153	81.7191	-0.6623	-5.5971	-6.2594	79.3	38.33
