"bk"	"type"	"comptrt"	"Mvtrt"	"Mvabund"	"pavi"	"sobi"	"MVrelabund"	"nhdi"	"nodi"	"nh.no"	"totdi"	"ammonifd"	"nitrifd"	"minzd"	"soilmoi"	"total"
"1"	"Empty"	"N"	"0"	0	0	0	0	2.0212	113.0142	0.0179	115.0354	-0.1403	8.6452	8.5049	83.06	0
"2"	"Empty"	"N"	"0"	0	0	0	0	10.0149	74.6131	0.1342	84.628	-0.7731	2.9896	2.2165	82.61	0
"3"	"Empty"	"N"	"0"	0	0	0	0	19.0947	85.1396	0.2243	104.2343	-1.5731	-5.6387	-7.2119	80.31	0
"4"	"Empty"	"N"	"0"	0	0	0	0	22.8036	43.4561	0.5247	66.2597	-1.879	2.7151	0.8361	80.26	0
"5"	"Empty"	"N"	"0"	0	0	0	0	5.4743	89.4789	0.0612	94.9532	-0.4404	2.1788	1.7384	80.97	0
"6"	"Empty"	"N"	"0"	0	0	0	0	4.4658	93.0122	0.048	97.478	-0.2827	-3.914	-4.1967	81.61	0
"7"	"Empty"	"N"	"0"	0	0	0	0	14.473	87.1059	0.1662	101.5789	-0.9615	-4.4636	-5.425	83.27	0
"8"	"Empty"	"N"	"0"	0	0	0	0	18.8261	63.9665	0.2943	82.7926	-1.3402	-3.5565	-4.8966	83.39	0
"9"	"Empty"	"N"	"0"	0	0	0	0	9.4341	80.085	0.1178	89.5191	-0.7843	-1.8819	-2.6662	80.8	0
"10"	"Empty"	"N"	"0"	0	0	0	0	10.2052	85.6741	0.1191	95.8793	-0.7706	0.5277	-0.2429	82.54	0
"1"	"Sobi"	"S"	"0"	0	0	52.06	0	2.7665	15.3332	0.1804	18.0997	-0.1936	-0.0173	-0.211	69.14	52.06
"2"	"Sobi"	"S"	"0"	0	0	59.08	0	3.4664	10.457	0.3315	13.9234	-0.2093	0.226	0.0167	75.09	59.08
"3"	"Sobi"	"S"	"0"	0	0	60.18	0	6.6683	16.3722	0.4073	23.0405	-0.5248	0.7185	0.1937	78.04	60.18
"4"	"Sobi"	"S"	"0"	0	0	95.6	0	12.3493	15.4191	0.8009	27.7684	-0.9888	0.9403	-0.0484	71.26	95.6
"5"	"Sobi"	"S"	"0"	0	0	77.54	0	3.4109	11.7642	0.2899	15.1751	-0.2081	0.1997	-0.0084	49.34	77.54
"6"	"Sobi"	"S"	"0"	0	0	74.65	0	2.1197	35.5094	0.0597	37.6291	-0.0513	-2.454	-2.5053	66.54	74.65
"7"	"Sobi"	"S"	"0"	0	0	114.61	0	2.4698	33.1456	0.0745	35.6154	-0.0452	-1.8852	-1.9304	65.31	114.61
"8"	"Sobi"	"S"	"0"	0	0	115.83	0	0.8889	21.043	0.0422	21.9319	0.0688	-0.4334	-0.3645	56.98	115.83
"9"	"Sobi"	"S"	"0"	0	0	107.89	0	0.2013	4.169	0.0483	4.3703	0.0724	0.2499	0.3223	54.75	107.89
"10"	"Sobi"	"S"	"0"	0	0	81.01	0	4.4566	11.6982	0.381	16.1548	-0.2631	2.8571	2.594	78.47	81.01
"1"	"Pavi"	"P"	"0"	0	21.88	0	0	2.968	41.7658	0.0711	44.7338	-0.2336	7.1621	6.9285	80.52	21.88
"2"	"Pavi"	"P"	"0"	0	27.6	0	0	9.8184	16.4026	0.5986	26.221	-0.7774	2.7201	1.9427	80.49	27.6
"3"	"Pavi"	"P"	"0"	0	33.37	0	0	9.8848	16.704	0.5918	26.5888	-0.7819	0.1347	-0.6471	67.41	33.37
"4"	"Pavi"	"P"	"0"	0	35.34	0	0	6.883	20.3312	0.3385	27.2141	-0.4588	0.5559	0.097	78.03	35.34
"5"	"Pavi"	"P"	"0"	0	27.46	0	0	11.7627	21.9282	0.5364	33.6909	-0.9082	-0.4134	-1.3216	79.35	27.46
