expt	potid	bk	julydate	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivibiom	percweed	miviind	paviind	sobiind	percmiviind	miviperind	paviperind	sobiperind	nhdi	nodi	totdi	percnodi	ammonifd	nitrifd	minzd	soilmoi	notes
E4	46	3	18	P	L3	6.54	17.51	NA	0	24.05	27	0	2	4	0	33	3.27	4.38	NA	16.8035	19.4585	36.262	0.5366	-1.3692	5.9897	4.6205	81.91	NA
E4	62	4	19	P	L3	7.31	32.22	NA	0	39.53	18	0	2	4	0	33	3.66	8.06	NA	24.9986	22.6231	47.6217	0.4751	-2.06	2.8074	0.7473	81.21	NA
E4	78	5	20	P	L3	8.13	20.05	NA	0	28.18	29	0	2	4	0	33	4.07	5.01	NA	7.03	22.2418	29.2718	0.7598	-0.5421	-1.156	-1.698	75.11	NA
E4	94	6	20	P	L3	15.19	21.13	NA	0	36.32	42	0	2	4	0	33	7.6	5.28	NA	7.9857	38.6947	46.6804	0.8289	-0.5694	-2.8502	-3.4196	72.53	NA
E4	110	7	22	P	L3	10.86	36.66	NA	0.07	47.59	23	0	2	4	0	33	5.43	9.17	NA	8.147	53.8702	62.0173	0.8686	-0.5122	2.4369	1.9246	81.34	NA
E4	126	8	22	P	L3	17.94	43.37	NA	0.42	61.73	29	1	2	4	0	33	8.97	10.84	NA	4.6685	34.5693	39.2378	0.881	-0.3724	-2.0508	-2.4232	78.87	NA
E4	142	9	27	P	L3	4.2	37.24	NA	0	41.44	10	0	2	4	0	33	2.1	9.31	NA	5.7951	10.1101	15.9052	0.6356	-0.4732	3.9021	3.4289	79.4	NA
E4	158	10	27	P	L3	5.55	33.59	NA	0	39.14	14	0	2	4	0	33	2.78	8.4	NA	3.1221	11.8402	14.9623	0.7913	-0.1401	-0.4842	-0.6243	77.17	NA
E4	15	1	16	P	L4	3.32	17.47	NA	0	20.79	16	0	1	5	0	17	3.32	3.49	NA	12.0318	46.5145	58.5464	0.7945	-0.9352	9.3692	8.434	80.32	NA
E4	31	2	16	P	L4	7.39	33.15	NA	0	40.54	18	0	1	5	0	17	7.39	6.63	NA	6.8767	12.3251	19.2018	0.6419	-0.4771	4.5276	4.0505	74.24	NA
E4	47	3	18	P	L4	5.72	28.48	NA	0	34.2	17	0	1	5	0	17	5.72	5.7	NA	8.4943	19.9467	28.441	0.7013	-0.6907	0.6555	-0.0352	76.21	NA
E4	63	4	19	P	L4	6.72	20.03	NA	0	26.75	25	0	1	5	0	17	6.72	4.01	NA	15.702	27.5694	43.2714	0.6371	-1.2933	3.0624	1.7691	80.79	NA
E4	79	5	20	P	L4	5.4	30.41	NA	0	35.81	15	0	1	5	0	17	5.4	6.08	NA	11.7033	25.1776	36.8809	0.6827	-0.8865	1.7193	0.8328	79.86	NA
E4	95	6	20	P	L4	7.97	24.16	NA	0	32.13	25	0	1	5	0	17	7.97	4.83	NA	15.1785	59.0035	74.1821	0.7954	-1.2162	-0.974	-2.1902	81.07	NA
E4	111	7	22	P	L4	4.47	26.93	NA	0.41	31.81	14	1	1	5	0	17	4.47	5.39	NA	22.0964	41.2479	63.3443	0.6512	-1.6254	2.922	1.2966	79.55	NA
E4	127	8	22	P	L4	0.32	35.29	NA	0	35.61	1	0	1	5	0	17	0.32	7.06	NA	5.8645	37.3518	43.2162	0.8643	-0.42	-0.3567	-0.7767	83.04	NA
E4	143	9	27	P	L4	9.98	24.98	NA	0	34.96	29	0	1	5	0	17	9.98	5	NA	9.2879	21.501	30.789	0.6983	-0.7079	-0.0604	-0.7684	81.55	NA
E4	159	10	27	P	L4	8.8	25.81	NA	0.45	35.06	25	1	1	5	0	17	8.8	5.16	NA	11.1012	17.5583	28.6595	0.6127	-0.8438	-0.2761	-1.1199	80.34	NA
E4	16	1	16	P	L5	0	21.88	NA	0	21.88	0	0	0	6	0	0	NA	3.65	NA	2.968	41.7658	44.7338	0.9337	-0.2336	7.1621	6.9285	80.52	NA
E4	32	2	16	P	L5	0	27.6	NA	1.26	28.86	0	0	0	6	0	0	NA	4.6	NA	9.8184	16.4026	26.221	0.6256	-0.7774	2.7201	1.9427	80.49	NA
E4	48	3	18	P	L5	0	33.37	NA	0	33.37	0	0	0	6	0	0	NA	5.56	NA	9.8848	16.704	26.5888	0.6282	-0.7819	0.1347	-0.6471	67.41	NA
E4	64	4	19	P	L5	0	35.34	NA	0	35.34	0	0	0	6	0	0	NA	5.89	NA	6.883	20.3312	27.2141	0.7471	-0.4588	0.5559	0.097	78.03	NA
E4	80	5	20	P	L5	0	27.46	NA	0	27.46	0	0	0	6	0	0	NA	4.58	NA	11.7627	21.9282	33.6909	0.6509	-0.9082	-0.4134	-1.3216	79.35	NA
E4	96	6	20	P	L5	0	31.41	NA	0	31.41	0	0	0	6	0	0	NA	5.24	NA	4.2797	44.7701	49.0499	0.9127	-0.299	-2.8225	-3.1215	76.47	NA
E4	112	7	22	P	L5	0	26.87	NA	0	26.87	0	0	0	6	0	0	NA	4.48	NA	13.7182	41.9796	55.6977	0.7537	-0.9354	-0.6535	-1.5889	81.03	NA
E4	128	8	22	P	L5	0	34.35	NA	0	34.35	0	0	0	6	0	0	NA	5.73	NA	5.3792	34.3721	39.7513	0.8647	-0.3319	-1.9862	-2.3181	80.34	NA
E4	144	9	27	P	L5	0	46.19	NA	3.38	49.57	0	7	0	6	0	0	NA	7.7	NA	8.3713	43.9048	52.2761	0.8399	-0.696	-1.648	-2.344	78.79	NA
E4	160	10	27	P	L5	0	48.47	NA	0	48.47	0	0	0	6	0	0	NA	8.08	NA	2.72	6.2845	9.0045	0.6979	-0.2221	0.3895	0.1674	81.94	NA
