expt	potid	bk	comptrt	denstrt	nhdi	nodi	totdi	percnodi	ammonifd	nitrifd	minzd
E4	51	4	N	L2	19.94335925	28.20541846	48.14877771	58.57971853	0.068463337	0.022339226	0.090802562
E4	52	4	N	L3	12.59736648	17.95859194	30.55595842	58.77279873	0.037560656	-0.033569914	0.003990743
E4	53	4	N	L4	13.58875194	16.79067011	30.37942205	55.26988	0.046285273	-0.026707914	0.01957736
E4	54	4	N	L5	22.80358702	43.45610298	66.25969	65.58452504	0.078292408	-0.113131242	-0.034838834
E4	55	4	S	L1	11.44619147	12.30450886	23.75070033	51.80693069	0.039183346	-0.030565314	0.008618032
E4	56	4	S	L2	17.63237813	23.56060373	41.19298187	57.19567428	0.05102717	-0.025523839	0.025503332
E4	57	4	S	L3	11.23055135	24.00959612	35.24014747	68.13137243	0.033678858	0.050218686	0.083897544
E4	58	4	S	L4	12.20708603	16.85498744	29.06207347	57.99650688	0.040398607	-0.016197723	0.024200884
E4	59	4	S	L5	12.34927128	15.41914662	27.7684179	55.52763819	0.04119792	-0.039181143	0.002016777
E4	60	4	P	L1	18.99619694	22.99300509	41.98920204	54.75932854	0.064832301	-0.062955594	0.001876706
E4	61	4	P	L2	19.18901305	24.39932797	43.58834101	55.97673002	0.065078455	-0.184958084	-0.119879629
E4	62	4	P	L3	24.99861715	22.62312445	47.6217416	47.50587376	0.085835405	-0.116973819	-0.031138414
E4	63	4	P	L4	15.70197297	27.56938154	43.27135451	63.71277685	0.053886698	-0.127600578	-0.07371388
E4	64	4	P	L5	6.882971014	20.33115116	27.21412217	74.708091	0.019117941	-0.02316106	-0.00404312
E4	65	5	N	L0	8.627045304	25.00305808	33.63010338	74.3472531	0.029794793	0.022802423	0.052597216
E4	66	5	N	L1	6.374571085	24.77485074	31.14942182	79.53550752	0.021486826	-0.17144821	-0.149961384
E4	67	5	N	L2	11.536466	17.75783627	29.29430226	60.61873776	0.037663475	-0.003868302	0.033795174
E4	68	5	N	L3	2.842193803	16.47502365	19.31721745	85.28673288	0.007754459	-0.241370359	-0.2336159
E4	69	5	N	L4	10.28261798	36.23858722	46.5212052	77.89692262	0.033722112	-0.063625528	-0.029903416
E4	70	5	N	L5	5.474337683	89.47885075	94.95318844	94.23469841	0.018349983	-0.090782649	-0.072432666
