expt	potid	bk	julydate	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivibiom	percweed	miviind	paviind	sobiind	percmiviind	miviperind	paviperind	sobiperind	nhdi	nodi	totdi	percnodi	ammonifd	nitrifd	minzd	soilmoi	notes
E4	83	6	20	N	L2	18.99	NA	NA	0	18.99	100	0	4	0	0	67	4.75	NA	NA	10.832	52.118	62.95	0.8279	-0.8584	-2.1314	-2.9898	78.45	NA
E4	84	6	20	N	L3	8.05	NA	NA	0.16	8.21	98	2	2	0	0	33	4.03	NA	NA	4.6353	55.3013	59.9366	0.9227	-0.3575	4.7862	4.4287	79.37	NA
E4	85	6	20	N	L4	15.17	NA	NA	0	15.17	100	0	1	0	0	17	15.17	NA	NA	7.3747	47.083	54.4578	0.8646	-0.516	-1.5702	-2.0862	78.26	NA
E4	86	6	20	N	L5	0	NA	NA	0	0	0	0	0	0	0	0	NA	NA	NA	4.4658	93.0122	97.478	0.9542	-0.2827	-3.914	-4.1967	81.61	NA
E4	97	7	22	N	L0	38.75	NA	NA	0	38.75	100	0	6	0	0	100	6.46	NA	NA	7.2174	68.0622	75.2796	0.9041	6.8163	1.3858	8.2021	81.76	NA
E4	98	7	22	N	L1	36.81	NA	NA	0	36.81	100	0	5	0	0	83	7.36	NA	NA	8.7562	50.0524	58.8086	0.8511	-0.6024	-0.0701	-0.6725	78.21	NA
E4	99	7	22	N	L2	33.43	NA	NA	0	33.43	100	0	4	0	0	67	8.36	NA	NA	32.8182	32.4397	65.2578	0.4971	-2.5372	0.8503	-1.6869	80.52	NA
E4	100	7	22	N	L3	24.05	NA	NA	0	24.05	100	0	2	0	0	33	12.03	NA	NA	5.8605	38.5258	44.3863	0.868	-0.3376	-2.1334	-2.4711	72.93	NA
E4	101	7	22	N	L4	15.05	NA	NA	0	15.05	100	0	1	0	0	17	15.05	NA	NA	4.659	55.7273	60.3863	0.9228	-0.2237	-3.4627	-3.6864	81.63	NA
E4	102	7	22	N	L5	0	NA	NA	0	0	0	0	0	0	0	0	NA	NA	NA	14.473	87.1059	101.5789	0.8575	-0.9615	-4.4636	-5.425	83.27	NA
E4	113	8	22	N	L0	41.66	NA	NA	0.14	41.8	100	0	6	0	0	100	6.94	NA	NA	5.8624	46.0081	51.8705	0.887	-0.2939	-2.7087	-3.0025	81.34	NA
E4	114	8	22	N	L1	27.75	NA	NA	0	27.75	100	0	5	0	0	83	5.55	NA	NA	8.9126	39.5883	48.5009	0.8162	-0.5727	-1.9033	-2.476	80.15	NA
E4	115	8	22	N	L2	35.08	NA	NA	0	35.08	100	0	4	0	0	67	8.77	NA	NA	16.1506	47.08	63.2306	0.7446	-1.0834	1.4246	0.3412	83.69	NA
E4	116	8	22	N	L3	20.72	NA	NA	0	20.72	100	0	2	0	0	33	10.36	NA	NA	10.3058	46.9393	57.2451	0.82	-0.5338	2.8292	2.2954	81.99	NA
E4	117	8	22	N	L4	36.4	NA	NA	0	36.4	100	0	1	0	0	17	36.4	NA	NA	1.3472	34.6087	35.9559	0.9625	0.0682	-1.5758	-1.5076	80.14	NA
E4	118	8	22	N	L5	0	NA	NA	0	0	0	0	0	0	0	0	NA	NA	NA	18.8261	63.9665	82.7926	0.7726	-1.3402	-3.5565	-4.8966	83.39	NA
E4	129	9	27	N	L0	38.33	NA	NA	0	38.33	100	0	6	0	0	100	6.39	NA	NA	8.4484	73.2707	81.7191	0.8966	-0.6623	-5.5971	-6.2594	79.3	NA
E4	130	9	27	N	L1	40.17	NA	NA	0	40.17	100	0	5	0	0	83	8.03	NA	NA	8.6173	69.3645	77.9818	0.8895	-0.7166	-4.1416	-4.8581	79.15	NA
E4	131	9	27	N	L2	27.89	NA	NA	0	27.89	100	0	4	0	0	67	6.97	NA	NA	1.4652	28.6616	30.1268	0.9514	0.822	-0.5754	0.2465	79.79	NA
E4	132	9	27	N	L3	10.86	NA	NA	0	10.86	100	0	2	0	0	33	5.43	NA	NA	12.0903	42.9569	55.0472	0.7804	-1.0005	-0.9783	-1.9787	78.6	NA
E4	133	9	27	N	L4	23.33	NA	NA	0	23.33	100	0	1	0	0	17	23.33	NA	NA	5.1134	21.8357	26.9492	0.8103	-0.411	-1.1035	-1.5145	75.68	NA
E4	134	9	27	N	L5	0	NA	NA	0	0	0	0	0	0	0	0	NA	NA	NA	9.4341	80.085	89.5191	0.8946	-0.7843	-1.8819	-2.6662	80.8	NA
E4	145	10	27	N	L0	36.48	NA	NA	0	36.48	100	0	6	0	0	100	6.08	NA	NA	0.8383	0.0174	0.8557	0.0204	-0.0563	1.3718	1.3155	77.22	outlier
E4	146	10	27	N	L1	35.59	NA	NA	0	35.59	100	0	5	0	0	83	7.12	NA	NA	8.6812	14.3514	23.0326	0.6231	-0.7218	0.3476	-0.3742	79.2	NA
E4	147	10	27	N	L2	23.11	NA	NA	0	23.11	100	0	4	0	0	67	5.78	NA	NA	6.4563	18.5627	25.019	0.7419	-0.5158	-0.669	-1.1848	78.39	NA
E4	148	10	27	N	L3	25.84	NA	NA	0.08	25.92	100	0	2	0	0	33	12.92	NA	NA	1.5825	15.044	16.6265	0.9048	-0.1026	-0.477	-0.5796	78.82	NA
E4	149	10	27	N	L4	13.74	NA	NA	0	13.74	100	0	1	0	0	17	13.74	NA	NA	8.6091	20.4804	29.0895	0.704	-0.7157	0.1211	-0.5946	81.5	NA
E4	150	10	27	N	L5	0	NA	NA	0	0	0	0	0	0	0	0	NA	NA	NA	10.2052	85.6741	95.8793	0.8936	-0.7706	0.5277	-0.2429	82.54	NA
