"Groups"	"Name"	"Variance"	"Std.Dev."	"Groups.1"	"Name.1"	"Variance.1"	"Std.Dev..1"	"Groups.2"	"Name.2"	"Variance.2"	"Std.Dev..2"
"Soil moisture (%)"	NA	NA	"-350.475380129167"	"Nitrate (ugN/G)"	NA	NA	"-432.662106178959"	"Nitrification
(ugN/G*d)"	NA	NA	"-268.855687179615"
"bk"	"(Intercept)"	" 0.000"	"0.0000"	"bk"	"(Intercept)"	"116.251"	"10.7820"	"bk"	"(Intercept)"	"2.3796"	"1.5426"
"Residual"	""	"25.904"	"5.0896"	"Residual"	""	" 91.002"	" 9.5395"	"Residual"	""	"5.1188"	"2.2625"
"(Intercept)"	"80.4677241380305"	"1.84641176189856"	"43.580595508821"	"(Intercept)"	"31.2907528859605"	"4.8699841651451"	"6.42522682309959"	"(Intercept)"	"0.895080773207421"	"0.957869033315351"	"0.934450057446153"
"mvtrt"	"-0.693758620713064"	"0.531848106262311"	"-1.30442999146621"	"mvtrt"	"0.513674909185757"	"1.00010082419305"	"0.513623123548792"	"mvtrt"	"-0.172589299578216"	"0.237113629411968"	"-0.727875913359476"
"comptrtP"	"-1.23597413803038"	"2.52749365483585"	"-0.489011766920007"	"comptrtP"	"-3.33406338596055"	"4.74967025840994"	"-0.701956810592722"	"comptrtP"	"0.937523726792581"	"1.12617362882038"	"0.832485953142592"
"comptrtS"	"-14.9841386458499"	"2.52762641020666"	"-5.92814609997083"	"comptrtS"	"-12.7499716892683"	"4.74976160673951"	"-2.68433928792915"	"comptrtS"	"-1.269092336684"	"1.12619943102564"	"-1.12688064096092"
"mvtrt:comptrtP"	"0.46325862071303"	"0.736141850456242"	"0.629306186607803"	"mvtrt:comptrtP"	"0.183986090814251"	"1.38210778638703"	"0.133119929303928"	"mvtrt:comptrtP"	"0.129665299578216"	"0.327736180040486"	"0.395639259486693"
"mvtrt:comptrtS"	"2.41858763635183"	"0.73796287261594"	"3.27738389843162"	"mvtrt:comptrtS"	"0.542217697429834"	"1.38549900525659"	"0.391351921129253"	"mvtrt:comptrtS"	"0.508982426531367"	"0.328541449664766"	"1.54921830122415"
