"bk"	"type"	"comptrt"	"Mvtrt"	"Mvabund"	"pavi"	"sobi"	"MVrelabund"	"nhdi"	"nodi"	"nh.no"	"totdi"	"ammonifd"	"nitrifd"	"minzd"	"soilmoi"	"total"
"7"	"CompEmpty"	"N"	"4"	33.43	0	0	100	32.8182	32.4397	1.0117	65.2578	-2.5372	0.8503	-1.6869	80.52	33.43
"7"	"CompEmpty"	"N"	"2"	24.05	0	0	100	5.8605	38.5258	0.1521	44.3863	-0.3376	-2.1334	-2.4711	72.93	24.05
"7"	"CompEmpty"	"N"	"1"	15.05	0	0	100	4.659	55.7273	0.0836	60.3863	-0.2237	-3.4627	-3.6864	81.63	15.05
"8"	"CompEmpty"	"N"	"5"	27.75	0	0	100	8.9126	39.5883	0.2251	48.5009	-0.5727	-1.9033	-2.476	80.15	27.75
"8"	"CompEmpty"	"N"	"4"	35.08	0	0	100	16.1506	47.08	0.343	63.2306	-1.0834	1.4246	0.3412	83.69	35.08
"8"	"CompEmpty"	"N"	"2"	20.72	0	0	100	10.3058	46.9393	0.2196	57.2451	-0.5338	2.8292	2.2954	81.99	20.72
"8"	"CompEmpty"	"N"	"1"	36.4	0	0	100	1.3472	34.6087	0.0389	35.9559	0.0682	-1.5758	-1.5076	80.14	36.4
"9"	"CompEmpty"	"N"	"5"	40.17	0	0	100	8.6173	69.3645	0.1242	77.9818	-0.7166	-4.1416	-4.8581	79.15	40.17
"9"	"CompEmpty"	"N"	"4"	27.89	0	0	100	1.4652	28.6616	0.0511	30.1268	0.822	-0.5754	0.2465	79.79	27.89
"9"	"CompEmpty"	"N"	"2"	10.86	0	0	100	12.0903	42.9569	0.2815	55.0472	-1.0005	-0.9783	-1.9787	78.6	10.86
"9"	"CompEmpty"	"N"	"1"	23.33	0	0	100	5.1134	21.8357	0.2342	26.9492	-0.411	-1.1035	-1.5145	75.68	23.33
"10"	"CompEmpty"	"N"	"5"	35.59	0	0	100	8.6812	14.3514	0.6049	23.0326	-0.7218	0.3476	-0.3742	79.2	35.59
"10"	"CompEmpty"	"N"	"4"	23.11	0	0	100	6.4563	18.5627	0.3478	25.019	-0.5158	-0.669	-1.1848	78.39	23.11
"10"	"CompEmpty"	"N"	"2"	25.84	0	0	100	1.5825	15.044	0.1052	16.6265	-0.1026	-0.477	-0.5796	78.82	25.84
"10"	"CompEmpty"	"N"	"1"	13.74	0	0	100	8.6091	20.4804	0.4204	29.0895	-0.7157	0.1211	-0.5946	81.5	13.74
