"potid"	"bk"	"type"	"comptrt"	"mvtrt"	"mivi"	"total"	"soilmeas"	"soilval"
"75"	30	2	"CompPavi"	"P"	2	12.41	31.16	"nhdi"	14.7566
"76"	36	3	"CompEmpty"	"N"	2	33.16	33.16	"nhdi"	5.4169
"77"	41	3	"CompSobi"	"S"	2	1.19	61.23	"nhdi"	2.1873
"78"	46	3	"CompPavi"	"P"	2	6.54	24.05	"nhdi"	16.8035
"79"	52	4	"CompEmpty"	"N"	2	18.31	18.31	"nhdi"	12.5974
"80"	57	4	"CompSobi"	"S"	2	0.45	99.96	"nhdi"	11.2306
"81"	62	4	"CompPavi"	"P"	2	7.31	39.53	"nhdi"	24.9986
"82"	68	5	"CompEmpty"	"N"	2	20.51	20.51	"nhdi"	2.8422
"83"	73	5	"CompSobi"	"S"	2	0.75	69.54	"nhdi"	1.447
"84"	78	5	"CompPavi"	"P"	2	8.13	28.18	"nhdi"	7.03
"85"	84	6	"CompEmpty"	"N"	2	8.05	8.05	"nhdi"	4.6353
"86"	89	6	"CompSobi"	"S"	2	0.67	81.18	"nhdi"	5.9103
"87"	94	6	"CompPavi"	"P"	2	15.19	36.32	"nhdi"	7.9857
"88"	100	7	"CompEmpty"	"N"	2	24.05	24.05	"nhdi"	5.8605
"89"	105	7	"CompSobi"	"S"	2	0.57	122.65	"nhdi"	12.8691
"90"	110	7	"CompPavi"	"P"	2	10.86	47.52	"nhdi"	8.147
"91"	116	8	"CompEmpty"	"N"	2	20.72	20.72	"nhdi"	10.3058
"92"	121	8	"CompSobi"	"S"	2	0.54	115.75	"nhdi"	1.8074
"93"	126	8	"CompPavi"	"P"	2	17.94	61.31	"nhdi"	4.6685
"94"	132	9	"CompEmpty"	"N"	2	10.86	10.86	"nhdi"	12.0903
"95"	137	9	"CompSobi"	"S"	2	0.58	111.32	"nhdi"	0.3758
"96"	142	9	"CompPavi"	"P"	2	4.2	41.44	"nhdi"	5.7951
"97"	148	10	"CompEmpty"	"N"	2	25.84	25.84	"nhdi"	1.5825
"98"	153	10	"CompSobi"	"S"	2	0.35	90.88	"nhdi"	2.5906
"99"	158	10	"CompPavi"	"P"	2	5.55	39.14	"nhdi"	3.1221
"100"	5	1	"CompEmpty"	"N"	1	7.38	7.38	"nhdi"	0.9203
"101"	10	1	"CompSobi"	"S"	1	1.01	69.26	"nhdi"	3.7447
"102"	15	1	"CompPavi"	"P"	1	3.32	20.79	"nhdi"	12.0318
"103"	21	2	"CompEmpty"	"N"	1	15.19	15.19	"nhdi"	11.3721
"104"	26	2	"CompSobi"	"S"	1	0.11	55.21	"nhdi"	16.6771
"105"	31	2	"CompPavi"	"P"	1	7.39	40.54	"nhdi"	6.8767
"106"	37	3	"CompEmpty"	"N"	1	17.38	17.38	"nhdi"	11.5385
"107"	42	3	"CompSobi"	"S"	1	0.35	78.41	"nhdi"	4.7597
"108"	47	3	"CompPavi"	"P"	1	5.72	34.2	"nhdi"	8.4943
"109"	53	4	"CompEmpty"	"N"	1	13.51	13.51	"nhdi"	13.5888
"110"	58	4	"CompSobi"	"S"	1	0.37	84.22	"nhdi"	12.2071
"111"	63	4	"CompPavi"	"P"	1	6.72	26.75	"nhdi"	15.702
"112"	74	5	"CompSobi"	"S"	1	0.16	62.83	"nhdi"	6.3161
"113"	79	5	"CompPavi"	"P"	1	5.4	35.81	"nhdi"	11.7033
"114"	85	6	"CompEmpty"	"N"	1	15.17	15.17	"nhdi"	7.3747
"115"	90	6	"CompSobi"	"S"	1	0.31	88.68	"nhdi"	7.6089
"116"	95	6	"CompPavi"	"P"	1	7.97	32.13	"nhdi"	15.1785
"117"	101	7	"CompEmpty"	"N"	1	15.05	15.05	"nhdi"	4.659
"118"	106	7	"CompSobi"	"S"	1	0.03	116.26	"nhdi"	2.391
"119"	111	7	"CompPavi"	"P"	1	4.47	31.4	"nhdi"	22.0964
"120"	117	8	"CompEmpty"	"N"	1	36.4	36.4	"nhdi"	1.3472
"121"	122	8	"CompSobi"	"S"	1	0.33	107.86	"nhdi"	1.3369
"122"	127	8	"CompPavi"	"P"	1	0.32	35.61	"nhdi"	5.8645
"123"	133	9	"CompEmpty"	"N"	1	23.33	23.33	"nhdi"	5.1134
"124"	138	9	"CompSobi"	"S"	1	0.81	118.87	"nhdi"	1.2827
"125"	143	9	"CompPavi"	"P"	1	9.98	34.96	"nhdi"	9.2879
"126"	149	10	"CompEmpty"	"N"	1	13.74	13.74	"nhdi"	8.6091
"127"	154	10	"CompSobi"	"S"	1	2.24	77.82	"nhdi"	2.2083
"128"	159	10	"CompPavi"	"P"	1	8.8	34.61	"nhdi"	11.1012
"129"	6	1	"Empty"	"N"	0	0	0	"nhdi"	2.0212
"130"	11	1	"Sobi"	"S"	0	0	52.06	"nhdi"	2.7665
"131"	16	1	"Pavi"	"P"	0	0	21.88	"nhdi"	2.968
"132"	22	2	"Empty"	"N"	0	0	0	"nhdi"	10.0149
"133"	27	2	"Sobi"	"S"	0	0	59.08	"nhdi"	3.4664
"134"	32	2	"Pavi"	"P"	0	0	27.6	"nhdi"	9.8184
"135"	38	3	"Empty"	"N"	0	0	0	"nhdi"	19.0947
"136"	43	3	"Sobi"	"S"	0	0	60.18	"nhdi"	6.6683
"137"	48	3	"Pavi"	"P"	0	0	33.37	"nhdi"	9.8848
"138"	54	4	"Empty"	"N"	0	0	0	"nhdi"	22.8036
"139"	59	4	"Sobi"	"S"	0	0	95.6	"nhdi"	12.3493
"140"	64	4	"Pavi"	"P"	0	0	35.34	"nhdi"	6.883
"141"	70	5	"Empty"	"N"	0	0	0	"nhdi"	5.4743
"142"	75	5	"Sobi"	"S"	0	0	77.54	"nhdi"	3.4109
"143"	80	5	"Pavi"	"P"	0	0	27.46	"nhdi"	11.7627
"144"	86	6	"Empty"	"N"	0	0	0	"nhdi"	4.4658
"145"	91	6	"Sobi"	"S"	0	0	74.65	"nhdi"	2.1197
"146"	96	6	"Pavi"	"P"	0	0	31.41	"nhdi"	4.2797
"147"	102	7	"Empty"	"N"	0	0	0	"nhdi"	14.473
"148"	107	7	"Sobi"	"S"	0	0	114.61	"nhdi"	2.4698
"149"	112	7	"Pavi"	"P"	0	0	26.87	"nhdi"	13.7182
"150"	118	8	"Empty"	"N"	0	0	0	"nhdi"	18.8261
"151"	123	8	"Sobi"	"S"	0	0	115.83	"nhdi"	0.8889
"152"	128	8	"Pavi"	"P"	0	0	34.35	"nhdi"	5.3792
"153"	134	9	"Empty"	"N"	0	0	0	"nhdi"	9.4341
"154"	139	9	"Sobi"	"S"	0	0	107.89	"nhdi"	0.2013
"155"	144	9	"Pavi"	"P"	0	0	46.19	"nhdi"	8.3713
"156"	150	10	"Empty"	"N"	0	0	0	"nhdi"	10.2052
"157"	155	10	"Sobi"	"S"	0	0	81.01	"nhdi"	4.4566
"158"	160	10	"Pavi"	"P"	0	0	48.47	"nhdi"	2.72
"159"	1	1	"Mivi"	"N"	6	25.35	25.35	"nodi"	43.5426
"160"	17	2	"Mivi"	"N"	6	26.07	26.07	"nodi"	56.5225
"161"	33	3	"Mivi"	"N"	6	22.85	22.85	"nodi"	20.5596
"162"	49	4	"Mivi"	"N"	6	42.42	42.42	"nodi"	20.5201
"163"	65	5	"Mivi"	"N"	6	41.36	41.36	"nodi"	25.0031
"164"	81	6	"Mivi"	"N"	6	49.47	49.47	"nodi"	51.4392
"165"	97	7	"Mivi"	"N"	6	38.75	38.75	"nodi"	68.0622
"166"	113	8	"Mivi"	"N"	6	41.66	41.66	"nodi"	46.0081
"167"	129	9	"Mivi"	"N"	6	38.33	38.33	"nodi"	73.2707
"168"	2	1	"CompEmpty"	"N"	5	27.76	27.76	"nodi"	30.2962
"169"	7	1	"CompSobi"	"S"	5	6.77	53.09	"nodi"	15.2052
"170"	12	1	"CompPavi"	"P"	5	21.16	25.66	"nodi"	49.43
"171"	18	2	"CompEmpty"	"N"	5	25.64	25.64	"nodi"	42.4984
"172"	23	2	"CompSobi"	"S"	5	2.16	47.12	"nodi"	17.8474
"173"	28	2	"CompPavi"	"P"	5	19.1	24.32	"nodi"	36.8813
"174"	34	3	"CompEmpty"	"N"	5	14.75	14.75	"nodi"	25.4556
"175"	39	3	"CompSobi"	"S"	5	2.7	42.17	"nodi"	11.7336
"176"	44	3	"CompPavi"	"P"	5	33.74	37.62	"nodi"	20.5639
"177"	50	4	"CompEmpty"	"N"	5	35.79	35.79	"nodi"	18.3215
"178"	55	4	"CompSobi"	"S"	5	3.44	57.84	"nodi"	12.3045
"179"	60	4	"CompPavi"	"P"	5	14.58	25.08	"nodi"	22.993
"180"	66	5	"CompEmpty"	"N"	5	28.24	28.24	"nodi"	24.7749
"181"	71	5	"CompSobi"	"S"	5	4.29	42.48	"nodi"	19.6884
"182"	76	5	"CompPavi"	"P"	5	7.91	35.37	"nodi"	31.1058
"183"	82	6	"CompEmpty"	"N"	5	36.76	36.76	"nodi"	41.4143
"184"	87	6	"CompSobi"	"S"	5	3.03	78.19	"nodi"	60.0126
"185"	92	6	"CompPavi"	"P"	5	28.45	31.6	"nodi"	54.2943
"186"	98	7	"CompEmpty"	"N"	5	36.81	36.81	"nodi"	50.0524
"187"	103	7	"CompSobi"	"S"	5	4.73	88.95	"nodi"	48.2105
"188"	108	7	"CompPavi"	"P"	5	25.25	28.82	"nodi"	18.7222
"189"	114	8	"CompEmpty"	"N"	5	27.75	27.75	"nodi"	39.5883
"190"	119	8	"CompSobi"	"S"	5	4.86	86.15	"nodi"	36.0072
"191"	124	8	"CompPavi"	"P"	5	26.63	32.98	"nodi"	37.1386
"192"	130	9	"CompEmpty"	"N"	5	40.17	40.17	"nodi"	69.3645
"193"	135	9	"CompSobi"	"S"	5	7.88	84.9	"nodi"	20.2161
"194"	140	9	"CompPavi"	"P"	5	29.85	33.33	"nodi"	16.7637
"195"	146	10	"CompEmpty"	"N"	5	35.59	35.59	"nodi"	14.3514
"196"	151	10	"CompSobi"	"S"	5	13.05	76.19	"nodi"	13.0639
"197"	156	10	"CompPavi"	"P"	5	30.94	48.56	"nodi"	14.6534
"198"	3	1	"CompEmpty"	"N"	4	34.81	34.81	"nodi"	32.9603
"199"	8	1	"CompSobi"	"S"	4	2.54	53.81	"nodi"	15.061
"200"	13	1	"CompPavi"	"P"	4	16.28	25.95	"nodi"	34.0102
"201"	19	2	"CompEmpty"	"N"	4	30.35	30.35	"nodi"	35.2932
"202"	24	2	"CompSobi"	"S"	4	1.33	47.46	"nodi"	19.5023
"203"	29	2	"CompPavi"	"P"	4	14.35	22.46	"nodi"	48.8061
"204"	35	3	"CompEmpty"	"N"	4	25.1	25.1	"nodi"	20.2064
"205"	40	3	"CompSobi"	"S"	4	2.53	65.84	"nodi"	13.7382
"206"	45	3	"CompPavi"	"P"	4	19.81	25.49	"nodi"	16.4992
"207"	51	4	"CompEmpty"	"N"	4	21.9	21.9	"nodi"	28.2054
"208"	56	4	"CompSobi"	"S"	4	5.36	67.39	"nodi"	23.5606
"209"	61	4	"CompPavi"	"P"	4	5.3	27.89	"nodi"	24.3993
"210"	67	5	"CompEmpty"	"N"	4	28.26	28.26	"nodi"	17.7578
"211"	72	5	"CompSobi"	"S"	4	2.62	58.27	"nodi"	17.468
"212"	77	5	"CompPavi"	"P"	4	10.79	23.74	"nodi"	27.0735
"213"	83	6	"CompEmpty"	"N"	4	18.99	18.99	"nodi"	52.118
"214"	88	6	"CompSobi"	"S"	4	2.86	92.01	"nodi"	25.4942
"215"	93	6	"CompPavi"	"P"	4	19.12	31.12	"nodi"	66.4599
"216"	99	7	"CompEmpty"	"N"	4	33.43	33.43	"nodi"	32.4397
"217"	104	7	"CompSobi"	"S"	4	4.55	65.25	"nodi"	48.6963
"218"	109	7	"CompPavi"	"P"	4	24.08	28.39	"nodi"	51.9096
"219"	115	8	"CompEmpty"	"N"	4	35.08	35.08	"nodi"	47.08
"220"	120	8	"CompSobi"	"S"	4	4.09	119.67	"nodi"	25.3606
"221"	125	8	"CompPavi"	"P"	4	19.95	36.35	"nodi"	28.234
"222"	131	9	"CompEmpty"	"N"	4	27.89	27.89	"nodi"	28.6616
"223"	136	9	"CompSobi"	"S"	4	0.61	104.24	"nodi"	4.0331
"224"	141	9	"CompPavi"	"P"	4	12.86	39.31	"nodi"	19.1342
"225"	147	10	"CompEmpty"	"N"	4	23.11	23.11	"nodi"	18.5627
"226"	152	10	"CompSobi"	"S"	4	1.52	70.08	"nodi"	0.0163
"227"	157	10	"CompPavi"	"P"	4	17.88	35.12	"nodi"	19.6291
"228"	4	1	"CompEmpty"	"N"	2	16.16	16.16	"nodi"	26.6491
"229"	9	1	"CompSobi"	"S"	2	0.53	63.76	"nodi"	23.8076
"230"	14	1	"CompPavi"	"P"	2	10.9	36.46	"nodi"	15.243
"231"	20	2	"CompEmpty"	"N"	2	20.14	20.14	"nodi"	34.0335
"232"	25	2	"CompSobi"	"S"	2	0.51	78.61	"nodi"	20.9139
"233"	30	2	"CompPavi"	"P"	2	12.41	31.16	"nodi"	26.4389
"234"	36	3	"CompEmpty"	"N"	2	33.16	33.16	"nodi"	19.7009
"235"	41	3	"CompSobi"	"S"	2	1.19	61.23	"nodi"	10.3418
"236"	46	3	"CompPavi"	"P"	2	6.54	24.05	"nodi"	19.4585
"237"	52	4	"CompEmpty"	"N"	2	18.31	18.31	"nodi"	17.9586
"238"	57	4	"CompSobi"	"S"	2	0.45	99.96	"nodi"	24.0096
"239"	62	4	"CompPavi"	"P"	2	7.31	39.53	"nodi"	22.6231
"240"	68	5	"CompEmpty"	"N"	2	20.51	20.51	"nodi"	16.475
"241"	73	5	"CompSobi"	"S"	2	0.75	69.54	"nodi"	13.1807
"242"	78	5	"CompPavi"	"P"	2	8.13	28.18	"nodi"	22.2418
"243"	84	6	"CompEmpty"	"N"	2	8.05	8.05	"nodi"	55.3013
"244"	89	6	"CompSobi"	"S"	2	0.67	81.18	"nodi"	48.0526
"245"	94	6	"CompPavi"	"P"	2	15.19	36.32	"nodi"	38.6947
"246"	100	7	"CompEmpty"	"N"	2	24.05	24.05	"nodi"	38.5258
"247"	105	7	"CompSobi"	"S"	2	0.57	122.65	"nodi"	29.9182
"248"	110	7	"CompPavi"	"P"	2	10.86	47.52	"nodi"	53.8702
"249"	116	8	"CompEmpty"	"N"	2	20.72	20.72	"nodi"	46.9393
"250"	121	8	"CompSobi"	"S"	2	0.54	115.75	"nodi"	28.5504
"251"	126	8	"CompPavi"	"P"	2	17.94	61.31	"nodi"	34.5693
"252"	132	9	"CompEmpty"	"N"	2	10.86	10.86	"nodi"	42.9569
"253"	137	9	"CompSobi"	"S"	2	0.58	111.32	"nodi"	5.2015
"254"	142	9	"CompPavi"	"P"	2	4.2	41.44	"nodi"	10.1101
"255"	148	10	"CompEmpty"	"N"	2	25.84	25.84	"nodi"	15.044
"256"	153	10	"CompSobi"	"S"	2	0.35	90.88	"nodi"	12.1571
"257"	158	10	"CompPavi"	"P"	2	5.55	39.14	"nodi"	11.8402
"258"	5	1	"CompEmpty"	"N"	1	7.38	7.38	"nodi"	58.1462
"259"	10	1	"CompSobi"	"S"	1	1.01	69.26	"nodi"	10.3303
"260"	15	1	"CompPavi"	"P"	1	3.32	20.79	"nodi"	46.5145
"261"	21	2	"CompEmpty"	"N"	1	15.19	15.19	"nodi"	27.8875
"262"	26	2	"CompSobi"	"S"	1	0.11	55.21	"nodi"	16.2694
"263"	31	2	"CompPavi"	"P"	1	7.39	40.54	"nodi"	12.3251
"264"	37	3	"CompEmpty"	"N"	1	17.38	17.38	"nodi"	19.6001
"265"	42	3	"CompSobi"	"S"	1	0.35	78.41	"nodi"	15.1366
"266"	47	3	"CompPavi"	"P"	1	5.72	34.2	"nodi"	19.9467
"267"	53	4	"CompEmpty"	"N"	1	13.51	13.51	"nodi"	16.7907
"268"	58	4	"CompSobi"	"S"	1	0.37	84.22	"nodi"	16.855
"269"	63	4	"CompPavi"	"P"	1	6.72	26.75	"nodi"	27.5694
"270"	74	5	"CompSobi"	"S"	1	0.16	62.83	"nodi"	18.2218
"271"	79	5	"CompPavi"	"P"	1	5.4	35.81	"nodi"	25.1776
"272"	85	6	"CompEmpty"	"N"	1	15.17	15.17	"nodi"	47.083
"273"	90	6	"CompSobi"	"S"	1	0.31	88.68	"nodi"	49.9537
"274"	95	6	"CompPavi"	"P"	1	7.97	32.13	"nodi"	59.0035
"275"	101	7	"CompEmpty"	"N"	1	15.05	15.05	"nodi"	55.7273
"276"	106	7	"CompSobi"	"S"	1	0.03	116.26	"nodi"	30.3723
"277"	111	7	"CompPavi"	"P"	1	4.47	31.4	"nodi"	41.2479
"278"	117	8	"CompEmpty"	"N"	1	36.4	36.4	"nodi"	34.6087
"279"	122	8	"CompSobi"	"S"	1	0.33	107.86	"nodi"	23.1775
"280"	127	8	"CompPavi"	"P"	1	0.32	35.61	"nodi"	37.3518
"281"	133	9	"CompEmpty"	"N"	1	23.33	23.33	"nodi"	21.8357
"282"	138	9	"CompSobi"	"S"	1	0.81	118.87	"nodi"	5.843
"283"	143	9	"CompPavi"	"P"	1	9.98	34.96	"nodi"	21.501
"284"	149	10	"CompEmpty"	"N"	1	13.74	13.74	"nodi"	20.4804
"285"	154	10	"CompSobi"	"S"	1	2.24	77.82	"nodi"	8.7643
"286"	159	10	"CompPavi"	"P"	1	8.8	34.61	"nodi"	17.5583
"287"	6	1	"Empty"	"N"	0	0	0	"nodi"	113.0142
"288"	11	1	"Sobi"	"S"	0	0	52.06	"nodi"	15.3332
"289"	16	1	"Pavi"	"P"	0	0	21.88	"nodi"	41.7658
"290"	22	2	"Empty"	"N"	0	0	0	"nodi"	74.6131
"291"	27	2	"Sobi"	"S"	0	0	59.08	"nodi"	10.457
"292"	32	2	"Pavi"	"P"	0	0	27.6	"nodi"	16.4026
"293"	38	3	"Empty"	"N"	0	0	0	"nodi"	85.1396
"294"	43	3	"Sobi"	"S"	0	0	60.18	"nodi"	16.3722
"295"	48	3	"Pavi"	"P"	0	0	33.37	"nodi"	16.704
"296"	54	4	"Empty"	"N"	0	0	0	"nodi"	43.4561
"297"	59	4	"Sobi"	"S"	0	0	95.6	"nodi"	15.4191
"298"	64	4	"Pavi"	"P"	0	0	35.34	"nodi"	20.3312
"299"	70	5	"Empty"	"N"	0	0	0	"nodi"	89.4789
"300"	75	5	"Sobi"	"S"	0	0	77.54	"nodi"	11.7642
"301"	80	5	"Pavi"	"P"	0	0	27.46	"nodi"	21.9282
"302"	86	6	"Empty"	"N"	0	0	0	"nodi"	93.0122
