"potid"	"bk"	"type"	"comptrt"	"mvtrt"	"mivi"	"total"	"soilmeas"	"soilval"
"340"	76	5	"CompPavi"	"P"	5	7.91	35.37	"totdi"	42.5036
"341"	82	6	"CompEmpty"	"N"	5	36.76	36.76	"totdi"	45.4916
"342"	87	6	"CompSobi"	"S"	5	3.03	78.19	"totdi"	65.9149
"343"	92	6	"CompPavi"	"P"	5	28.45	31.6	"totdi"	57.2602
"344"	98	7	"CompEmpty"	"N"	5	36.81	36.81	"totdi"	58.8086
"345"	103	7	"CompSobi"	"S"	5	4.73	88.95	"totdi"	52.7068
"346"	108	7	"CompPavi"	"P"	5	25.25	28.82	"totdi"	32.1778
"347"	114	8	"CompEmpty"	"N"	5	27.75	27.75	"totdi"	48.5009
"348"	119	8	"CompSobi"	"S"	5	4.86	86.15	"totdi"	42.4398
"349"	124	8	"CompPavi"	"P"	5	26.63	32.98	"totdi"	46.1049
"350"	130	9	"CompEmpty"	"N"	5	40.17	40.17	"totdi"	77.9818
"351"	135	9	"CompSobi"	"S"	5	7.88	84.9	"totdi"	23.9547
"352"	140	9	"CompPavi"	"P"	5	29.85	33.33	"totdi"	22.8793
"353"	146	10	"CompEmpty"	"N"	5	35.59	35.59	"totdi"	23.0326
"354"	151	10	"CompSobi"	"S"	5	13.05	76.19	"totdi"	16.7967
"355"	156	10	"CompPavi"	"P"	5	30.94	48.56	"totdi"	24.0233
"356"	3	1	"CompEmpty"	"N"	4	34.81	34.81	"totdi"	34.8478
"357"	8	1	"CompSobi"	"S"	4	2.54	53.81	"totdi"	18.7883
"358"	13	1	"CompPavi"	"P"	4	16.28	25.95	"totdi"	39.687
"359"	19	2	"CompEmpty"	"N"	4	30.35	30.35	"totdi"	39.7971
"360"	24	2	"CompSobi"	"S"	4	1.33	47.46	"totdi"	44.4301
"361"	29	2	"CompPavi"	"P"	4	14.35	22.46	"totdi"	53.1888
"362"	35	3	"CompEmpty"	"N"	4	25.1	25.1	"totdi"	36.6543
"363"	40	3	"CompSobi"	"S"	4	2.53	65.84	"totdi"	19.2967
"364"	45	3	"CompPavi"	"P"	4	19.81	25.49	"totdi"	26.3175
"365"	51	4	"CompEmpty"	"N"	4	21.9	21.9	"totdi"	48.1488
"366"	56	4	"CompSobi"	"S"	4	5.36	67.39	"totdi"	41.193
"367"	61	4	"CompPavi"	"P"	4	5.3	27.89	"totdi"	43.5883
"368"	67	5	"CompEmpty"	"N"	4	28.26	28.26	"totdi"	29.2943
"369"	72	5	"CompSobi"	"S"	4	2.62	58.27	"totdi"	31.6596
"370"	77	5	"CompPavi"	"P"	4	10.79	23.74	"totdi"	39.6224
"371"	83	6	"CompEmpty"	"N"	4	18.99	18.99	"totdi"	62.95
"372"	88	6	"CompSobi"	"S"	4	2.86	92.01	"totdi"	27.5018
"373"	93	6	"CompPavi"	"P"	4	19.12	31.12	"totdi"	70.8799
"374"	99	7	"CompEmpty"	"N"	4	33.43	33.43	"totdi"	65.2578
"375"	104	7	"CompSobi"	"S"	4	4.55	65.25	"totdi"	54.7989
"376"	109	7	"CompPavi"	"P"	4	24.08	28.39	"totdi"	59.9269
"377"	115	8	"CompEmpty"	"N"	4	35.08	35.08	"totdi"	63.2306
"378"	120	8	"CompSobi"	"S"	4	4.09	119.67	"totdi"	26.6485
"379"	125	8	"CompPavi"	"P"	4	19.95	36.35	"totdi"	31.549
"380"	131	9	"CompEmpty"	"N"	4	27.89	27.89	"totdi"	30.1268
"381"	136	9	"CompSobi"	"S"	4	0.61	104.24	"totdi"	5.0287
"382"	141	9	"CompPavi"	"P"	4	12.86	39.31	"totdi"	26.8578
"383"	147	10	"CompEmpty"	"N"	4	23.11	23.11	"totdi"	25.019
"384"	152	10	"CompSobi"	"S"	4	1.52	70.08	"totdi"	4.1659
"385"	157	10	"CompPavi"	"P"	4	17.88	35.12	"totdi"	25.6222
"386"	4	1	"CompEmpty"	"N"	2	16.16	16.16	"totdi"	36.4757
"387"	9	1	"CompSobi"	"S"	2	0.53	63.76	"totdi"	36.6528
"388"	14	1	"CompPavi"	"P"	2	10.9	36.46	"totdi"	21.264
"389"	20	2	"CompEmpty"	"N"	2	20.14	20.14	"totdi"	38.0285
"390"	25	2	"CompSobi"	"S"	2	0.51	78.61	"totdi"	24.6874
"391"	30	2	"CompPavi"	"P"	2	12.41	31.16	"totdi"	41.1955
"392"	36	3	"CompEmpty"	"N"	2	33.16	33.16	"totdi"	25.1177
"393"	41	3	"CompSobi"	"S"	2	1.19	61.23	"totdi"	12.5292
"394"	46	3	"CompPavi"	"P"	2	6.54	24.05	"totdi"	36.262
"395"	52	4	"CompEmpty"	"N"	2	18.31	18.31	"totdi"	30.556
"396"	57	4	"CompSobi"	"S"	2	0.45	99.96	"totdi"	35.2401
"397"	62	4	"CompPavi"	"P"	2	7.31	39.53	"totdi"	47.6217
"398"	68	5	"CompEmpty"	"N"	2	20.51	20.51	"totdi"	19.3172
"399"	73	5	"CompSobi"	"S"	2	0.75	69.54	"totdi"	14.6277
"400"	78	5	"CompPavi"	"P"	2	8.13	28.18	"totdi"	29.2718
"401"	84	6	"CompEmpty"	"N"	2	8.05	8.05	"totdi"	59.9366
"402"	89	6	"CompSobi"	"S"	2	0.67	81.18	"totdi"	53.9629
"403"	94	6	"CompPavi"	"P"	2	15.19	36.32	"totdi"	46.6804
"404"	100	7	"CompEmpty"	"N"	2	24.05	24.05	"totdi"	44.3863
"405"	105	7	"CompSobi"	"S"	2	0.57	122.65	"totdi"	42.7872
"406"	110	7	"CompPavi"	"P"	2	10.86	47.52	"totdi"	62.0173
"407"	116	8	"CompEmpty"	"N"	2	20.72	20.72	"totdi"	57.2451
"408"	121	8	"CompSobi"	"S"	2	0.54	115.75	"totdi"	30.3578
"409"	126	8	"CompPavi"	"P"	2	17.94	61.31	"totdi"	39.2378
"410"	132	9	"CompEmpty"	"N"	2	10.86	10.86	"totdi"	55.0472
"411"	137	9	"CompSobi"	"S"	2	0.58	111.32	"totdi"	5.5773
"412"	142	9	"CompPavi"	"P"	2	4.2	41.44	"totdi"	15.9052
"413"	148	10	"CompEmpty"	"N"	2	25.84	25.84	"totdi"	16.6265
"414"	153	10	"CompSobi"	"S"	2	0.35	90.88	"totdi"	14.7477
"415"	158	10	"CompPavi"	"P"	2	5.55	39.14	"totdi"	14.9623
"416"	5	1	"CompEmpty"	"N"	1	7.38	7.38	"totdi"	59.0666
"417"	10	1	"CompSobi"	"S"	1	1.01	69.26	"totdi"	14.075
"418"	15	1	"CompPavi"	"P"	1	3.32	20.79	"totdi"	58.5464
"419"	21	2	"CompEmpty"	"N"	1	15.19	15.19	"totdi"	39.2597
"420"	26	2	"CompSobi"	"S"	1	0.11	55.21	"totdi"	32.9464
"421"	31	2	"CompPavi"	"P"	1	7.39	40.54	"totdi"	19.2018
"422"	37	3	"CompEmpty"	"N"	1	17.38	17.38	"totdi"	31.1386
"423"	42	3	"CompSobi"	"S"	1	0.35	78.41	"totdi"	19.8963
"424"	47	3	"CompPavi"	"P"	1	5.72	34.2	"totdi"	28.441
"425"	53	4	"CompEmpty"	"N"	1	13.51	13.51	"totdi"	30.3794
"426"	58	4	"CompSobi"	"S"	1	0.37	84.22	"totdi"	29.0621
"427"	63	4	"CompPavi"	"P"	1	6.72	26.75	"totdi"	43.2714
"428"	74	5	"CompSobi"	"S"	1	0.16	62.83	"totdi"	24.5379
"429"	79	5	"CompPavi"	"P"	1	5.4	35.81	"totdi"	36.8809
"430"	85	6	"CompEmpty"	"N"	1	15.17	15.17	"totdi"	54.4578
"431"	90	6	"CompSobi"	"S"	1	0.31	88.68	"totdi"	57.5626
"432"	95	6	"CompPavi"	"P"	1	7.97	32.13	"totdi"	74.1821
"433"	101	7	"CompEmpty"	"N"	1	15.05	15.05	"totdi"	60.3863
"434"	106	7	"CompSobi"	"S"	1	0.03	116.26	"totdi"	32.7633
"435"	111	7	"CompPavi"	"P"	1	4.47	31.4	"totdi"	63.3443
"436"	117	8	"CompEmpty"	"N"	1	36.4	36.4	"totdi"	35.9559
"437"	122	8	"CompSobi"	"S"	1	0.33	107.86	"totdi"	24.5144
"438"	127	8	"CompPavi"	"P"	1	0.32	35.61	"totdi"	43.2162
"439"	133	9	"CompEmpty"	"N"	1	23.33	23.33	"totdi"	26.9492
"440"	138	9	"CompSobi"	"S"	1	0.81	118.87	"totdi"	7.1257
"441"	143	9	"CompPavi"	"P"	1	9.98	34.96	"totdi"	30.789
"442"	149	10	"CompEmpty"	"N"	1	13.74	13.74	"totdi"	29.0895
"443"	154	10	"CompSobi"	"S"	1	2.24	77.82	"totdi"	10.9725
"444"	159	10	"CompPavi"	"P"	1	8.8	34.61	"totdi"	28.6595
"445"	6	1	"Empty"	"N"	0	0	0	"totdi"	115.0354
"446"	11	1	"Sobi"	"S"	0	0	52.06	"totdi"	18.0997
"447"	16	1	"Pavi"	"P"	0	0	21.88	"totdi"	44.7338
"448"	22	2	"Empty"	"N"	0	0	0	"totdi"	84.628
"449"	27	2	"Sobi"	"S"	0	0	59.08	"totdi"	13.9234
"450"	32	2	"Pavi"	"P"	0	0	27.6	"totdi"	26.221
"451"	38	3	"Empty"	"N"	0	0	0	"totdi"	104.2343
"452"	43	3	"Sobi"	"S"	0	0	60.18	"totdi"	23.0405
"453"	48	3	"Pavi"	"P"	0	0	33.37	"totdi"	26.5888
"454"	54	4	"Empty"	"N"	0	0	0	"totdi"	66.2597
"455"	59	4	"Sobi"	"S"	0	0	95.6	"totdi"	27.7684
"456"	64	4	"Pavi"	"P"	0	0	35.34	"totdi"	27.2141
"457"	70	5	"Empty"	"N"	0	0	0	"totdi"	94.9532
"458"	75	5	"Sobi"	"S"	0	0	77.54	"totdi"	15.1751
"459"	80	5	"Pavi"	"P"	0	0	27.46	"totdi"	33.6909
"460"	86	6	"Empty"	"N"	0	0	0	"totdi"	97.478
"461"	91	6	"Sobi"	"S"	0	0	74.65	"totdi"	37.6291
"462"	96	6	"Pavi"	"P"	0	0	31.41	"totdi"	49.0499
"463"	102	7	"Empty"	"N"	0	0	0	"totdi"	101.5789
"464"	107	7	"Sobi"	"S"	0	0	114.61	"totdi"	35.6154
"465"	112	7	"Pavi"	"P"	0	0	26.87	"totdi"	55.6977
"466"	118	8	"Empty"	"N"	0	0	0	"totdi"	82.7926
"467"	123	8	"Sobi"	"S"	0	0	115.83	"totdi"	21.9319
"468"	128	8	"Pavi"	"P"	0	0	34.35	"totdi"	39.7513
"469"	134	9	"Empty"	"N"	0	0	0	"totdi"	89.5191
"470"	139	9	"Sobi"	"S"	0	0	107.89	"totdi"	4.3703
"471"	144	9	"Pavi"	"P"	0	0	46.19	"totdi"	52.2761
"472"	150	10	"Empty"	"N"	0	0	0	"totdi"	95.8793
"473"	155	10	"Sobi"	"S"	0	0	81.01	"totdi"	16.1548
"474"	160	10	"Pavi"	"P"	0	0	48.47	"totdi"	9.0045
"475"	1	1	"Mivi"	"N"	6	25.35	25.35	"ammonifd"	-0.2734
"476"	17	2	"Mivi"	"N"	6	26.07	26.07	"ammonifd"	-0.3516
"477"	33	3	"Mivi"	"N"	6	22.85	22.85	"ammonifd"	-0.5754
"478"	49	4	"Mivi"	"N"	6	42.42	42.42	"ammonifd"	-1.058
"479"	65	5	"Mivi"	"N"	6	41.36	41.36	"ammonifd"	-0.7151
"480"	81	6	"Mivi"	"N"	6	49.47	49.47	"ammonifd"	-0.4329
"481"	97	7	"Mivi"	"N"	6	38.75	38.75	"ammonifd"	6.8163
"482"	113	8	"Mivi"	"N"	6	41.66	41.66	"ammonifd"	-0.2939
"483"	129	9	"Mivi"	"N"	6	38.33	38.33	"ammonifd"	-0.6623
"484"	2	1	"CompEmpty"	"N"	5	27.76	27.76	"ammonifd"	1.452
"485"	7	1	"CompSobi"	"S"	5	6.77	53.09	"ammonifd"	-0.7996
"486"	12	1	"CompPavi"	"P"	5	21.16	25.66	"ammonifd"	-0.1214
"487"	18	2	"CompEmpty"	"N"	5	25.64	25.64	"ammonifd"	-0.2166
"488"	23	2	"CompSobi"	"S"	5	2.16	47.12	"ammonifd"	-0.8864
"489"	28	2	"CompPavi"	"P"	5	19.1	24.32	"ammonifd"	-1.0533
"490"	34	3	"CompEmpty"	"N"	5	14.75	14.75	"ammonifd"	-0.9793
"491"	39	3	"CompSobi"	"S"	5	2.7	42.17	"ammonifd"	-1.2868
"492"	44	3	"CompPavi"	"P"	5	33.74	37.62	"ammonifd"	-1.735
"493"	50	4	"CompEmpty"	"N"	5	35.79	35.79	"ammonifd"	-0.5139
"494"	55	4	"CompSobi"	"S"	5	3.44	57.84	"ammonifd"	-0.9404
"495"	60	4	"CompPavi"	"P"	5	14.58	25.08	"ammonifd"	-1.556
"496"	66	5	"CompEmpty"	"N"	5	28.24	28.24	"ammonifd"	-0.5157
"497"	71	5	"CompSobi"	"S"	5	4.29	42.48	"ammonifd"	-0.8471
"498"	76	5	"CompPavi"	"P"	5	7.91	35.37	"ammonifd"	-0.8631
"499"	82	6	"CompEmpty"	"N"	5	36.76	36.76	"ammonifd"	-0.2961
"500"	87	6	"CompSobi"	"S"	5	3.03	78.19	"ammonifd"	-0.3893
"501"	92	6	"CompPavi"	"P"	5	28.45	31.6	"ammonifd"	-0.1633
"502"	98	7	"CompEmpty"	"N"	5	36.81	36.81	"ammonifd"	-0.6024
"503"	103	7	"CompSobi"	"S"	5	4.73	88.95	"ammonifd"	-0.2229
"504"	108	7	"CompPavi"	"P"	5	25.25	28.82	"ammonifd"	-0.9083
"505"	114	8	"CompEmpty"	"N"	5	27.75	27.75	"ammonifd"	-0.5727
"506"	119	8	"CompSobi"	"S"	5	4.86	86.15	"ammonifd"	-0.3976
"507"	124	8	"CompPavi"	"P"	5	26.63	32.98	"ammonifd"	-0.7299
"508"	130	9	"CompEmpty"	"N"	5	40.17	40.17	"ammonifd"	-0.7166
"509"	135	9	"CompSobi"	"S"	5	7.88	84.9	"ammonifd"	-0.2858
"510"	140	9	"CompPavi"	"P"	5	29.85	33.33	"ammonifd"	-0.4513
"511"	146	10	"CompEmpty"	"N"	5	35.59	35.59	"ammonifd"	-0.7218
"512"	151	10	"CompSobi"	"S"	5	13.05	76.19	"ammonifd"	-0.3094
"513"	156	10	"CompPavi"	"P"	5	30.94	48.56	"ammonifd"	-0.7481
"514"	3	1	"CompEmpty"	"N"	4	34.81	34.81	"ammonifd"	-0.1559
"515"	8	1	"CompSobi"	"S"	4	2.54	53.81	"ammonifd"	-0.2352
"516"	13	1	"CompPavi"	"P"	4	16.28	25.95	"ammonifd"	-0.4188
"517"	19	2	"CompEmpty"	"N"	4	30.35	30.35	"ammonifd"	-0.2601
"518"	24	2	"CompSobi"	"S"	4	1.33	47.46	"ammonifd"	-2.0136
"519"	29	2	"CompPavi"	"P"	4	14.35	22.46	"ammonifd"	-0.3083
"520"	35	3	"CompEmpty"	"N"	4	25.1	25.1	"ammonifd"	-1.3548
"521"	40	3	"CompSobi"	"S"	4	2.53	65.84	"ammonifd"	-0.4569
"522"	45	3	"CompPavi"	"P"	4	19.81	25.49	"ammonifd"	-0.7998
"523"	51	4	"CompEmpty"	"N"	4	21.9	21.9	"ammonifd"	-1.6431
"524"	56	4	"CompSobi"	"S"	4	5.36	67.39	"ammonifd"	-1.2247
"525"	61	4	"CompPavi"	"P"	4	5.3	27.89	"ammonifd"	-1.5619
"526"	67	5	"CompEmpty"	"N"	4	28.26	28.26	"ammonifd"	-0.9039
"527"	72	5	"CompSobi"	"S"	4	2.62	58.27	"ammonifd"	-1.1385
"528"	77	5	"CompPavi"	"P"	4	10.79	23.74	"ammonifd"	-0.9861
"529"	83	6	"CompEmpty"	"N"	4	18.99	18.99	"ammonifd"	-0.8584
"530"	88	6	"CompSobi"	"S"	4	2.86	92.01	"ammonifd"	-0.118
"531"	93	6	"CompPavi"	"P"	4	19.12	31.12	"ammonifd"	-0.3143
"532"	99	7	"CompEmpty"	"N"	4	33.43	33.43	"ammonifd"	-2.5372
"533"	104	7	"CompSobi"	"S"	4	4.55	65.25	"ammonifd"	-0.2911
"534"	109	7	"CompPavi"	"P"	4	24.08	28.39	"ammonifd"	-0.5183
"535"	115	8	"CompEmpty"	"N"	4	35.08	35.08	"ammonifd"	-1.0834
"536"	120	8	"CompSobi"	"S"	4	4.09	119.67	"ammonifd"	-0.0226
"537"	125	8	"CompPavi"	"P"	4	19.95	36.35	"ammonifd"	-0.2514
"538"	131	9	"CompEmpty"	"N"	4	27.89	27.89	"ammonifd"	0.822
"539"	136	9	"CompSobi"	"S"	4	0.61	104.24	"ammonifd"	-0.0782
"540"	141	9	"CompPavi"	"P"	4	12.86	39.31	"ammonifd"	-0.642
"541"	147	10	"CompEmpty"	"N"	4	23.11	23.11	"ammonifd"	-0.5158
"542"	152	10	"CompSobi"	"S"	4	1.52	70.08	"ammonifd"	-0.3444
"543"	157	10	"CompPavi"	"P"	4	17.88	35.12	"ammonifd"	-0.4919
"544"	4	1	"CompEmpty"	"N"	2	16.16	16.16	"ammonifd"	-0.8171
"545"	9	1	"CompSobi"	"S"	2	0.53	63.76	"ammonifd"	-1.0242
"546"	14	1	"CompPavi"	"P"	2	10.9	36.46	"ammonifd"	-0.3869
"547"	20	2	"CompEmpty"	"N"	2	20.14	20.14	"ammonifd"	-0.3138
"548"	25	2	"CompSobi"	"S"	2	0.51	78.61	"ammonifd"	-0.2301
"549"	30	2	"CompPavi"	"P"	2	12.41	31.16	"ammonifd"	-1.0581
"550"	36	3	"CompEmpty"	"N"	2	33.16	33.16	"ammonifd"	-0.445
"551"	41	3	"CompSobi"	"S"	2	1.19	61.23	"ammonifd"	-0.0742
"552"	46	3	"CompPavi"	"P"	2	6.54	24.05	"ammonifd"	-1.3692
"553"	52	4	"CompEmpty"	"N"	2	18.31	18.31	"ammonifd"	-0.9015
"554"	57	4	"CompSobi"	"S"	2	0.45	99.96	"ammonifd"	-0.8083
"555"	62	4	"CompPavi"	"P"	2	7.31	39.53	"ammonifd"	-2.06
"556"	68	5	"CompEmpty"	"N"	2	20.51	20.51	"ammonifd"	-0.1861
"557"	73	5	"CompSobi"	"S"	2	0.75	69.54	"ammonifd"	0.0062
"558"	78	5	"CompPavi"	"P"	2	8.13	28.18	"ammonifd"	-0.5421
"559"	84	6	"CompEmpty"	"N"	2	8.05	8.05	"ammonifd"	-0.3575
"560"	89	6	"CompSobi"	"S"	2	0.67	81.18	"ammonifd"	-0.3162
"561"	94	6	"CompPavi"	"P"	2	15.19	36.32	"ammonifd"	-0.5694
"562"	100	7	"CompEmpty"	"N"	2	24.05	24.05	"ammonifd"	-0.3376
"563"	105	7	"CompSobi"	"S"	2	0.57	122.65	"ammonifd"	-0.9185
"564"	110	7	"CompPavi"	"P"	2	10.86	47.52	"ammonifd"	-0.5122
"565"	116	8	"CompEmpty"	"N"	2	20.72	20.72	"ammonifd"	-0.5338
"566"	121	8	"CompSobi"	"S"	2	0.54	115.75	"ammonifd"	0.0079
"567"	126	8	"CompPavi"	"P"	2	17.94	61.31	"ammonifd"	-0.3724
"568"	132	9	"CompEmpty"	"N"	2	10.86	10.86	"ammonifd"	-1.0005
"569"	137	9	"CompSobi"	"S"	2	0.58	111.32	"ammonifd"	0.0279
"570"	142	9	"CompPavi"	"P"	2	4.2	41.44	"ammonifd"	-0.4732
"571"	148	10	"CompEmpty"	"N"	2	25.84	25.84	"ammonifd"	-0.1026
"572"	153	10	"CompSobi"	"S"	2	0.35	90.88	"ammonifd"	-0.2093
"573"	158	10	"CompPavi"	"P"	2	5.55	39.14	"ammonifd"	-0.1401
"574"	5	1	"CompEmpty"	"N"	1	7.38	7.38	"ammonifd"	-0.0364
"575"	10	1	"CompSobi"	"S"	1	1.01	69.26	"ammonifd"	-0.2794
"576"	15	1	"CompPavi"	"P"	1	3.32	20.79	"ammonifd"	-0.9352
"577"	21	2	"CompEmpty"	"N"	1	15.19	15.19	"ammonifd"	-0.9114
"578"	26	2	"CompSobi"	"S"	1	0.11	55.21	"ammonifd"	-1.366
"579"	31	2	"CompPavi"	"P"	1	7.39	40.54	"ammonifd"	-0.4771
"580"	37	3	"CompEmpty"	"N"	1	17.38	17.38	"ammonifd"	-0.6935
"581"	42	3	"CompSobi"	"S"	1	0.35	78.41	"ammonifd"	-0.3132
"582"	47	3	"CompPavi"	"P"	1	5.72	34.2	"ammonifd"	-0.6907
"583"	53	4	"CompEmpty"	"N"	1	13.51	13.51	"ammonifd"	-1.1108
"584"	58	4	"CompSobi"	"S"	1	0.37	84.22	"ammonifd"	-0.9696
"585"	63	4	"CompPavi"	"P"	1	6.72	26.75	"ammonifd"	-1.2933
"586"	74	5	"CompSobi"	"S"	1	0.16	62.83	"ammonifd"	-0.3789
"587"	79	5	"CompPavi"	"P"	1	5.4	35.81	"ammonifd"	-0.8865
"588"	85	6	"CompEmpty"	"N"	1	15.17	15.17	"ammonifd"	-0.516
"589"	90	6	"CompSobi"	"S"	1	0.31	88.68	"ammonifd"	-0.5043
"590"	95	6	"CompPavi"	"P"	1	7.97	32.13	"ammonifd"	-1.2162
"591"	101	7	"CompEmpty"	"N"	1	15.05	15.05	"ammonifd"	-0.2237
"592"	106	7	"CompSobi"	"S"	1	0.03	116.26	"ammonifd"	-0.0452
"593"	111	7	"CompPavi"	"P"	1	4.47	31.4	"ammonifd"	-1.6254
"594"	117	8	"CompEmpty"	"N"	1	36.4	36.4	"ammonifd"	0.0682
"595"	122	8	"CompSobi"	"S"	1	0.33	107.86	"ammonifd"	-0.0123
"596"	127	8	"CompPavi"	"P"	1	0.32	35.61	"ammonifd"	-0.42
"597"	133	9	"CompEmpty"	"N"	1	23.33	23.33	"ammonifd"	-0.411
"598"	138	9	"CompSobi"	"S"	1	0.81	118.87	"ammonifd"	-0.044
"599"	143	9	"CompPavi"	"P"	1	9.98	34.96	"ammonifd"	-0.7079
"600"	149	10	"CompEmpty"	"N"	1	13.74	13.74	"ammonifd"	-0.7157
"601"	154	10	"CompSobi"	"S"	1	2.24	77.82	"ammonifd"	-0.104
"602"	159	10	"CompPavi"	"P"	1	8.8	34.61	"ammonifd"	-0.8438
"603"	6	1	"Empty"	"N"	0	0	0	"ammonifd"	-0.1403
"604"	11	1	"Sobi"	"S"	0	0	52.06	"ammonifd"	-0.1936
"605"	16	1	"Pavi"	"P"	0	0	21.88	"ammonifd"	-0.2336
"606"	22	2	"Empty"	"N"	0	0	0	"ammonifd"	-0.7731
"607"	27	2	"Sobi"	"S"	0	0	59.08	"ammonifd"	-0.2093
"608"	32	2	"Pavi"	"P"	0	0	27.6	"ammonifd"	-0.7774
"609"	38	3	"Empty"	"N"	0	0	0	"ammonifd"	-1.5731
"610"	43	3	"Sobi"	"S"	0	0	60.18	"ammonifd"	-0.5248
"611"	48	3	"Pavi"	"P"	0	0	33.37	"ammonifd"	-0.7819
"612"	54	4	"Empty"	"N"	0	0	0	"ammonifd"	-1.879
"613"	59	4	"Sobi"	"S"	0	0	95.6	"ammonifd"	-0.9888
"614"	64	4	"Pavi"	"P"	0	0	35.34	"ammonifd"	-0.4588
"615"	70	5	"Empty"	"N"	0	0	0	"ammonifd"	-0.4404
"616"	75	5	"Sobi"	"S"	0	0	77.54	"ammonifd"	-0.2081
"617"	80	5	"Pavi"	"P"	0	0	27.46	"ammonifd"	-0.9082
"618"	86	6	"Empty"	"N"	0	0	0	"ammonifd"	-0.2827
"619"	91	6	"Sobi"	"S"	0	0	74.65	"ammonifd"	-0.0513
"620"	96	6	"Pavi"	"P"	0	0	31.41	"ammonifd"	-0.299
"621"	102	7	"Empty"	"N"	0	0	0	"ammonifd"	-0.9615
"622"	107	7	"Sobi"	"S"	0	0	114.61	"ammonifd"	-0.0452
"623"	112	7	"Pavi"	"P"	0	0	26.87	"ammonifd"	-0.9354
"624"	118	8	"Empty"	"N"	0	0	0	"ammonifd"	-1.3402
"625"	123	8	"Sobi"	"S"	0	0	115.83	"ammonifd"	0.0688
"626"	128	8	"Pavi"	"P"	0	0	34.35	"ammonifd"	-0.3319
"627"	134	9	"Empty"	"N"	0	0	0	"ammonifd"	-0.7843
"628"	139	9	"Sobi"	"S"	0	0	107.89	"ammonifd"	0.0724
"629"	144	9	"Pavi"	"P"	0	0	46.19	"ammonifd"	-0.696
"630"	150	10	"Empty"	"N"	0	0	0	"ammonifd"	-0.7706
"631"	155	10	"Sobi"	"S"	0	0	81.01	"ammonifd"	-0.2631
"632"	160	10	"Pavi"	"P"	0	0	48.47	"ammonifd"	-0.2221
"633"	1	1	"Mivi"	"N"	6	25.35	25.35	"nitrifd"	3.6092
"634"	17	2	"Mivi"	"N"	6	26.07	26.07	"nitrifd"	5.689
"635"	33	3	"Mivi"	"N"	6	22.85	22.85	"nitrifd"	6.1599
"636"	49	4	"Mivi"	"N"	6	42.42	42.42	"nitrifd"	6.1095
"637"	65	5	"Mivi"	"N"	6	41.36	41.36	"nitrifd"	-0.5473
"638"	81	6	"Mivi"	"N"	6	49.47	49.47	"nitrifd"	-3.3305
"639"	97	7	"Mivi"	"N"	6	38.75	38.75	"nitrifd"	1.3858
"640"	113	8	"Mivi"	"N"	6	41.66	41.66	"nitrifd"	-2.7087
"641"	129	9	"Mivi"	"N"	6	38.33	38.33	"nitrifd"	-5.5971
"642"	2	1	"CompEmpty"	"N"	5	27.76	27.76	"nitrifd"	4.4545
"643"	7	1	"CompSobi"	"S"	5	6.77	53.09	"nitrifd"	5.2469
"644"	12	1	"CompPavi"	"P"	5	21.16	25.66	"nitrifd"	2.6254
"645"	18	2	"CompEmpty"	"N"	5	25.64	25.64	"nitrifd"	-1.5711
"646"	23	2	"CompSobi"	"S"	5	2.16	47.12	"nitrifd"	4.5898
"647"	28	2	"CompPavi"	"P"	5	19.1	24.32	"nitrifd"	3.2075
"648"	34	3	"CompEmpty"	"N"	5	14.75	14.75	"nitrifd"	-0.6662
"649"	39	3	"CompSobi"	"S"	5	2.7	42.17	"nitrifd"	5.9507
"650"	44	3	"CompPavi"	"P"	5	33.74	37.62	"nitrifd"	6.488
"651"	50	4	"CompEmpty"	"N"	5	35.79	35.79	"nitrifd"	-0.4597
"652"	55	4	"CompSobi"	"S"	5	3.44	57.84	"nitrifd"	0.7336
"653"	60	4	"CompPavi"	"P"	5	14.58	25.08	"nitrifd"	1.5109
"654"	66	5	"CompEmpty"	"N"	5	28.24	28.24	"nitrifd"	4.1148
"655"	71	5	"CompSobi"	"S"	5	4.29	42.48	"nitrifd"	1.9828
"656"	76	5	"CompPavi"	"P"	5	7.91	35.37	"nitrifd"	1.2451
"657"	82	6	"CompEmpty"	"N"	5	36.76	36.76	"nitrifd"	-2.5775
"658"	87	6	"CompSobi"	"S"	5	3.03	78.19	"nitrifd"	-2.5082
"659"	92	6	"CompPavi"	"P"	5	28.45	31.6	"nitrifd"	-4.1105
"660"	98	7	"CompEmpty"	"N"	5	36.81	36.81	"nitrifd"	-0.0701
"661"	103	7	"CompSobi"	"S"	5	4.73	88.95	"nitrifd"	-1.8155
"662"	108	7	"CompPavi"	"P"	5	25.25	28.82	"nitrifd"	2.6096
"663"	114	8	"CompEmpty"	"N"	5	27.75	27.75	"nitrifd"	-1.9033
"664"	119	8	"CompSobi"	"S"	5	4.86	86.15	"nitrifd"	-2.0466
"665"	124	8	"CompPavi"	"P"	5	26.63	32.98	"nitrifd"	0.8419
"666"	130	9	"CompEmpty"	"N"	5	40.17	40.17	"nitrifd"	-4.1416
"667"	135	9	"CompSobi"	"S"	5	7.88	84.9	"nitrifd"	0.3134
"668"	140	9	"CompPavi"	"P"	5	29.85	33.33	"nitrifd"	-0.3665
"669"	146	10	"CompEmpty"	"N"	5	35.59	35.59	"nitrifd"	0.3476
"670"	151	10	"CompSobi"	"S"	5	13.05	76.19	"nitrifd"	0.878
